address,floor,plan,price,square
р-н Дзержинский, 14/25 эт.,2-к квартира,4 100 000  ₽, 59 м²
р-н Дзержинский, 5/10 эт.,2-к квартира,3 900 000  ₽, 52.2 м²
р-н Индустриальный, 18/19 эт.,2-к квартира,3 873 200  ₽, 57.6 м²
р-н Дзержинский, 2/5 эт.,4-к квартира,2 890 000  ₽, 61 м²
р-н Ленинский, 13/25 эт.,Своб. планировка,8 554 000  ₽, 132 м²
р-н Кировский, 2/16 эт.,2-к квартира,3 569 150  ₽, 56.1 м²
р-н Свердловский, 8/17 эт.,2-к квартира,4 004 937  ₽, 66.4 м²
р-н Свердловский, 16/17 эт.,3-к квартира,4 112 401  ₽, 65.8 м²
р-н Свердловский, 13/17 эт.,1-к квартира,2 459 554  ₽, 33.3 м²
р-н Индустриальный, 4/16 эт.,3-к квартира,4 956 490  ₽, 86.4 м²
р-н Свердловский, 1/17 эт.,Квартира-студия,1 790 000  ₽, 20 м²
р-н Мотовилихинский, 5/16 эт.,2-к квартира,4 149 000  ₽, 55 м²
р-н Свердловский, 10/17 эт.,3-к квартира,4 099 239  ₽, 65.8 м²
р-н Свердловский, 2/17 эт.,3-к квартира,4 086 077  ₽, 65.8 м²
р-н Свердловский, 3/17 эт.,3-к квартира,4 090 000  ₽, 65.9 м²
р-н Свердловский, 9/17 эт.,3-к квартира,4 103 172  ₽, 65.8 м²
р-н Свердловский, 14/17 эт.,3-к квартира,4 112 401  ₽, 65.8 м²
р-н Кировский, 2/10 эт.,3-к квартира,4 200 000  ₽, 72.4 м²
р-н Индустриальный, 12/16 эт.,2-к квартира,5 100 000  ₽, 77.2 м²
р-н Индустриальный, 2/5 эт.,2-к квартира,2 290 000  ₽, 42 м²
р-н Индустриальный, 25/25 эт.,2-к квартира,5 500 000  ₽, 68 м²
р-н Кировский, 16/20 эт.,Квартира-студия,1 590 000  ₽, 21.4 м²
р-н Дзержинский, 2/5 эт.,2-к квартира,2 600 000  ₽, 41.9 м²
р-н Кировский, 3/5 эт.,1-к квартира,1 795 000  ₽, 33.5 м²
р-н Дзержинский, 13/16 эт.,3-к квартира,4 200 000  ₽, 72.3 м²
