"Year_end","OlympiadType","Subject","ShortName","Class","TeamSize","Status","Year_begin"
2014,"Московская олимпиада","Изобразительное искусство","ГБОУ СОШ № 1188",2,3,"победитель",2013
2015,"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1794",5,5,"победитель",2014
2019,"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1571",9,3,"призёр",2018
2019,"Всероссийская олимпиада","Информатика","ГБОУ «Лицей «Вторая школа»",11,4,"призёр",2018
2013,"Московская олимпиада","Технология","ГБОУ СОШ № 409",5,5,"призёр",2012
2013,"Московская олимпиада","Технология","ГБОУ СОШ № 305",8,5,"победитель",2012
2018,"Московская олимпиада","Физика","ГБОУ школа № 1568",10,3,"победитель",2017
2016,"Московская олимпиада","филология","ГБОУ школа № 1366",11,3,"призёр",2015
2018,"Московская олимпиада","Биология","ГБОУ школа Перспектива",7,5,"призёр",2017
2015,"Всероссийская олимпиада","Математика","ГБОУ ЦО № 57",11,3,"призёр",2014
2018,"Всероссийская олимпиада","Биология","ГБОУ школа № 1543",10,4,"призёр",2017
2018,"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1538",11,3,"победитель",2017
2019,"Московская олимпиада","Экономика","ГБОУ школа № 57",8,3,"призёр",2018
2015,"Районная олимпиада","Экология","ГБОУ гимназия № 1516",10,4,"призёр",2014
2018,"Всероссийская олимпиада","Математика","ГБОУ школа № 1568",11,5,"призёр",2017
2014,"Московская олимпиада","Экономика","ГБОУ Физматшкола 2007",10,4,"призёр",2013
2015,"Всероссийская олимпиада","Обществознание","ГБОУ лицей № 1535",11,4,"призёр",2014
2017,"Московская олимпиада","Информатика","ГБОУ Московская гимназия на Юго-Западе № 1543",8,5,"призёр",2016
2017,"Всероссийская олимпиада","Право","ГБОУ школа № 109",10,4,"призёр",2016
2016,"Районная олимпиада","Мировая Художественная Культура (МХК)","ГБОУ гимназия № 1637",11,5,"призёр",2015
2017,"Всероссийская олимпиада","Биология","ГБОУ школа № 2025",9,3,"призёр",2016
2016,"Всероссийская олимпиада","Информатика","ГБОУ лицей «Вторая школа»",9,5,"призёр",2015
2020,"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ школа № 2054",11,3,"призёр",2019
2016,"Московская олимпиада","Физика","ГАОУ ВО МИОО. СОШ № 179",9,4,"победитель",2015
2016,"Всероссийская олимпиада","Литература","МГУПС (МИИТ)",10,3,"призёр",2015
2018,"Всероссийская олимпиада","Физическая культура","ГКОУ КШИ № 11",11,5,"призёр",2017
2017,"Московская олимпиада","Математика","ГБОУ школа № 1363",6,5,"призёр",2016
2016,"Районная олимпиада","Литература","ГБОУ школа № 2122",11,3,"призёр",2015
