"OlympiadType","TeamSize","ShortName","Year_begin","Subject","Year_end","Status","Class"
"Всероссийская олимпиада",4,"ГБОУ школа № 1514",2018,"Мировая Художественная Культура (МХК)",2019,"призёр",9
"Московская олимпиада",3,"ГБОУ школа № 2086",2018,"Бюджетная грамотность",2019,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ «Гимназия № 1528»",2014,"Литература",2015,"призёр",9
"Всероссийская олимпиада",3,"ГБОУ СОШ № 2033",2013,"Экология",2014,"призёр",10
"Районная олимпиада",3,"ГБОУ школа № 1353",2016,"История",2017,"призёр",9
"Районная олимпиада",3,"ГБОУ школа № 509",2014,"Основы безопасности жизнедеятельности",2015,"призёр",11
"Всероссийская олимпиада",3,"ОАНО «Школа «ЛЕТОВО»",2019,"История",2020,"призёр",10
"Всероссийская олимпиада",3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2014,"Физика",2015,"призёр",11
"Московская олимпиада",5,"ГБОУ лицей № 1535",2016,"География",2017,"победитель",8
"Московская олимпиада",5,"ГБОУ Московская гимназия на Юго-Западе № 1543",2013,"Информатика",2014,"победитель",9
"Московская олимпиада",3,"ГБОУ школа № 1352",2017,"История",2018,"призёр",11
"Московская олимпиада",3,"ГБОУ школа № 2001",2017,"История",2018,"призёр",11
"Всероссийская олимпиада",4,"ГБОУ гимназия № 1542",2016,"Литература",2017,"призёр",11
"Всероссийская олимпиада",5,"ФГКОУ «МКК ПВ МО РФ»",2015,"Физическая культура",2016,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ школа № 1912",2016,"География",2017,"победитель",11
"Всероссийская олимпиада",3,"ГБОУ школа № 1474",2019,"Русский язык",2020,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ СОШ № 1250",2013,"Иностранный язык (английский язык)",2014,"призёр",11
"Московская олимпиада",3,"ГБОУ школа № 1246",2018,"филология",2019,"призёр",4
"Московская олимпиада",3,"ГБОУ школа - интернат № 11",2013,"предпринимательство",2014,"победитель",4
"Всероссийская олимпиада",5,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ",2017,"Искусство (МХК)",2018,"призёр",10
"Всероссийская олимпиада",5,"ГБОУ КШИ № 9",2016,"История",2017,"призёр",11
"Всероссийская олимпиада",5,"ГБОУ школа № 1329",2015,"Информатика",2016,"призёр",10
"Всероссийская олимпиада",3,"ГБОУ школа № 1574",2017,"Обществознание",2018,"призёр",11
