"OlympiadType","Subject","ShortName","Class","Year_end","Status","Year_begin","TeamSize"
"Всероссийская олимпиада","Физика","ГБОУ школа № 1329",10,2018,"призёр",2017,5
"Районная олимпиада","Право","Финансовый университет",10,2020,"призёр",2019,3
"Всероссийская олимпиада","Математика","ГБОУ школа № 57",9,2017,"победитель",2016,4
"Районная олимпиада","Литература","НИУ ВШЭ. лицей",11,2017,"призёр",2016,3
"Всероссийская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ школа № 179",10,2018,"призёр",2017,3
"Районная олимпиада","Иностранный язык (французский язык)","ГБОУ школа № 1231",10,2016,"призёр",2015,5
"Всероссийская олимпиада","Информатика","ГАОУ ВО МИОО. СОШ № 179",10,2013,"призёр",2012,3
"Всероссийская олимпиада","Физическая культура","ГБОУ школа № 924",11,2020,"призёр",2019,5
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 57",10,2020,"призёр",2019,4
"Всероссийская олимпиада","География","ГБОУ школа № 1248",10,2020,"призёр",2019,4
"Всероссийская олимпиада","Иностранный язык (китайский язык)","ГБОУ школа № 1948",11,2018,"призёр",2017,5
"Московская олимпиада","Химия","ГБОУ школа № 1568",9,2019,"призёр",2018,4
"Всероссийская олимпиада","География","ГБОУ школа № 1547",11,2019,"призёр",2018,4
"Московская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ школа № 67",11,2018,"победитель",2017,3
"Московская олимпиада","География","ГБОУ школа № 1498",10,2017,"призёр",2016,3
"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ СОШ № 183",9,2014,"призёр",2013,5
"Районная олимпиада","Литература","ГБОУ гимназия № 1514",10,2017,"призёр",2016,5
"Московская олимпиада","Обществознание","НИУ ВШЭ. лицей",11,2016,"победитель",2015,3
"Московская олимпиада","Технология","ГБОУ школа № 2070",8,2019,"призёр",2018,3
"Районная олимпиада","Русский язык","ГБОУ школа № 1270",11,2015,"призёр",2014,4
"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ школа № 1591",11,2019,"призёр",2018,4
"Всероссийская олимпиада","Биология","ГБОУ гимназия № 1534",10,2017,"призёр",2016,4
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1741",6,2014,"победитель",2013,3
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 185",10,2019,"призёр",2018,3
"Московская олимпиада","Биология","ГБОУ гимназия № 1591",5,2014,"призёр",2013,3
"Всероссийская олимпиада","Математика","ГБОУ гимназия № 1567",11,2014,"призёр",2013,5
"Московская олимпиада","История","ГБОУ школа № 17",9,2019,"призёр",2018,3
"Московская олимпиада","Изобразительное искусство","ГБОУ школа № 1636",5,2019,"победитель",2018,5
"Районная олимпиада","История","НИУ ВШЭ. лицей",11,2016,"призёр",2015,3
"Районная олимпиада","Литература","ГБОУ школа № 1959",9,2016,"призёр",2015,5
"Всероссийская олимпиада","Экономика","ГБОУ «Лицей «Вторая школа»",9,2019,"победитель",2018,4
"Районная олимпиада","Экология","ГБОУ школа № 641 имени С. Есенина",9,2015,"призёр",2014,4
"Всероссийская олимпиада","Мировая Художественная Культура (МХК)","ГБОУ школа № 648",11,2014,"призёр",2013,3
"Районная олимпиада","Основы безопасности жизнедеятельности","ГБОУ СОШ № 324 «Жар-птица»",11,2014,"призёр",2013,5
"Всероссийская олимпиада","Экономика","ГБОУ лицей № 1547",11,2017,"победитель",2016,4
"Всероссийская олимпиада","Обществознание","ЧУ СОШ «СААШ «Марина»",11,2015,"призёр",2014,3
"Московская олимпиада","Математика","ГБОУ Физматшкола 2007",8,2013,"призёр",2012,3
"Московская олимпиада","Математика","ГБОУ ЦО № 57",5,2015,"призёр",2014,3
"Всероссийская олимпиада","История","ГБОУ СОШ № 1249",9,2015,"призёр",2014,3
"Районная олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1515",9,2018,"призёр",2017,3
"Районная олимпиада","История","ГБОУ гимназия № 1595",10,2017,"призёр",2016,4
"Московская олимпиада","Химия","ГБОУ лицей № 1535",11,2014,"призёр",2013,3
"Московская олимпиада","Изобразительное искусство","ГБОУ ЦО № 1637",1,2014,"победитель",2013,4
"Московская олимпиада","Экономика","ГБОУ школа № 1568",10,2018,"призёр",2017,4
"Всероссийская олимпиада","Биология","ГБОУ школа № 57",11,2019,"призёр",2018,5
"Всероссийская олимпиада","Литература","ГБОУ школа «Интеграл»",11,2020,"призёр",2019,3
"Всероссийская олимпиада","Русский язык","ГБОУ школа имени Маяковского",11,2018,"призёр",2017,3
"Всероссийская олимпиада","Обществознание","университетская гимназия",10,2019,"призёр",2018,5
"Всероссийская олимпиада","Математика","ГБОУ школа № 2086",11,2017,"призёр",2016,5
"Всероссийская олимпиада","Математика","ГБОУ «Лицей «Вторая школа»",11,2019,"победитель",2018,4
"Всероссийская олимпиада","Экономика","СУНЦ МГУ",11,2019,"призёр",2018,3
"Московская олимпиада","География","ГБОУ школа № 2048",7,2018,"призёр",2017,5
"Всероссийская олимпиада","Право","ГБОУ школа № 152",10,2020,"призёр",2019,5
"Всероссийская олимпиада","Физическая культура","ГБОУ школа № 1352",11,2018,"победитель",2017,4
"Районная олимпиада","Обществознание","МАОУ «Лицей города Троицка»",11,2013,"призёр",2012,3
"Всероссийская олимпиада","Математика","ГБОУ гимназия № 1514",9,2015,"призёр",2014,3
"Московская олимпиада","Математика","ГБОУ гимназия № 1532",6,2016,"призёр",2015,3
"Районная олимпиада","Обществознание","ГБОУ лицей № 1535",11,2015,"призёр",2014,5
"Всероссийская олимпиада","Обществознание","ГБОУ гимназия № 1529",11,2013,"призёр",2012,5
"Всероссийская олимпиада","Математика","ГБОУ Московская гимназия на Юго-Западе № 1543",9,2016,"призёр",2015,4
"Московская олимпиада","филология","ГБОУ лицей № 429 «Соколиная гора»",9,2016,"призёр",2015,3
"Московская олимпиада","филология","ГБОУ школа № 1252",10,2018,"призёр",2017,4
"Всероссийская олимпиада","Иностранный язык (французский язык)","ГБОУ школа № 2107",10,2020,"призёр",2019,4
"Всероссийская олимпиада","Литература","ГБОУ школа № 2097",10,2019,"призёр",2018,5
"Московская олимпиада","филология","ГАОУ гимназия № 1306",9,2017,"призёр",2016,4
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 2104 на Таганке",11,2018,"призёр",2017,5
"Всероссийская олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 201",11,2020,"призёр",2019,3
"Всероссийская олимпиада","Литература","ГБОУ школа № 2009",10,2018,"призёр",2017,4
"Всероссийская олимпиада","Химия","ГБОУ школа № 1194",9,2020,"призёр",2019,5
"Московская олимпиада","филология","ГБОУ ЦО № 57",11,2014,"призёр",2013,5
"Всероссийская олимпиада","Физика","Предуниверситарий НИЯУ МИФИ",9,2019,"призёр",2018,5
"Районная олимпиада","Обществознание","ГБОУ школа № 49",11,2013,"призёр",2012,4
"Всероссийская олимпиада","Информатика","ГБОУ Физматшкола 2007",10,2016,"призёр",2015,5
"Районная олимпиада","История","ГБОУ СОШ № 1308",11,2014,"призёр",2013,3
"Всероссийская олимпиада","Математика","ГАОУ ВО МИОО. СОШ № 179",11,2016,"призёр",2015,4
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1400",9,2014,"призёр",2013,3
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 1286",11,2019,"призёр",2018,5
"Московская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ школа № 179",9,2018,"призёр",2017,3
"Районная олимпиада","Химия","ГБОУ школа имени Маршала В.И. Чуйкова",9,2018,"победитель",2017,3
"Московская олимпиада","Иностранный язык (французский язык)","ГБОУ школа № 2107",7,2019,"призёр",2018,3
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ СОШ № 1250",11,2014,"призёр",2013,5
"Всероссийская олимпиада","География","ФГБОУ ВО МГЛУ",10,2019,"призёр",2018,3
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ школа № 1440",11,2016,"призёр",2015,3
"Московская олимпиада","Химия","ГБОУ гимназия № 1519",10,2016,"призёр",2015,3
"Всероссийская олимпиада","Экономика","ГБОУ школа № 57",9,2019,"призёр",2018,4
"Московская олимпиада","Технология","ГБОУ школа № 1547",6,2018,"призёр",2017,3
"Московская олимпиада","Химия","ГБОУ гимназия № 1505",11,2017,"призёр",2016,4
"Московская олимпиада","Обществознание","ГБОУ гимназия № 1409",10,2016,"призёр",2015,4
"Всероссийская олимпиада","Литература","ГБОУ школа № 2098 имени Героя Советского Союза Л.М. Доватора",10,2018,"призёр",2017,5
"Всероссийская олимпиада","Физическая культура","ГБОУ СОШ № 2085",11,2013,"призёр",2012,4
"Всероссийская олимпиада","Иностранный язык (английский язык)","ГБОУ лицей № 1535",10,2017,"призёр",2016,3
"Всероссийская олимпиада","астрономия","ГБОУ лицей «Вторая школа»",9,2016,"призёр",2015,5
"Московская олимпиада","Математика","ГБОУ Физматшкола 2007",5,2013,"призёр",2012,5
"Районная олимпиада","Основы безопасности жизнедеятельности","ГБОУ школа № 1449",9,2020,"призёр",2019,5
"Московская олимпиада","Экономика","ГБОУ СОШ № 1280",8,2013,"призёр",2012,5
"Московская олимпиада","Изобразительное искусство","ГБОУ Образовательный центр «Протон»",7,2019,"призёр",2018,4
"Всероссийская олимпиада","Право","ГБОУ школа № 56 имени академика В.А. Легасова",11,2019,"победитель",2018,4
"Всероссийская олимпиада","Биология","ГБОУ школа № 1539",11,2018,"призёр",2017,5
"Московская олимпиада","Изобразительное искусство","ГАОУ школа № 548",6,2019,"призёр",2018,4
"Московская олимпиада","Информационные технологии в профессиональной деятельности","ГБОУ школа № 618",11,2019,"призёр",2018,4
"Московская олимпиада","Химия","ГБОУ школа № 218",9,2019,"призёр",2018,5
"Московская олимпиада","Математика","ГБОУ Физматшкола № 2007",6,2016,"призёр",2015,4
"Всероссийская олимпиада","Информатика","ГБОУ школа № 171",11,2017,"призёр",2016,5
"Всероссийская олимпиада","Экология","ГБОУ школа № 1354",11,2016,"призёр",2015,4
"Московская олимпиада","астрономия","ГБОУ СОШ № 1199 «Лига Школ»",7,2014,"призёр",2013,3
"Всероссийская олимпиада","Русский язык","ГБОУ школа № 1575",9,2019,"призёр",2018,3
"Всероссийская олимпиада","Обществознание","ГБОУ школа № 627",10,2015,"призёр",2014,5
