"Year_begin","OlympiadType","Year_end","ShortName","Class","Status","Subject","TeamSize"
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 1449",9,"призёр","Основы безопасности жизнедеятельности",5
2014,"Всероссийская олимпиада",2015,"ГБОУ лицей № 1580",11,"призёр","Русский язык",4
2013,"Всероссийская олимпиада",2014,"ГБОУ школа № 1252 имени Сервантеса",11,"призёр","Основы безопасности жизнедеятельности",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1253",11,"победитель","Биология",4
2014,"Московская олимпиада",2015,"ГБОУ СОШ № 1485",5,"победитель","История",4
2014,"Всероссийская олимпиада",2015,"ГБОУ гимназия № 1542",9,"призёр","Литература",3
2019,"Всероссийская олимпиада",2020,"ГБОУ «Лицей «Вторая школа»",11,"призёр","Физика",3
2015,"Всероссийская олимпиада",2016,"ГБОУ «Школа-интернат «Интеллектуал»",11,"призёр","Физика",5
2013,"Московская олимпиада",2014,"ГБОУ СОШ № 240",3,"призёр","предпринимательство",5
2019,"Всероссийская олимпиада",2020,"МАОУ «Лицей города Троицка»",11,"призёр","Литература",5
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1065",9,"победитель","Биология",5
2016,"Московская олимпиада",2017,"ГБОУ школа № 1474",8,"призёр","филология",3
2017,"Московская олимпиада",2018,"ГБОУ школа № 1583",5,"призёр","Биология",4
2012,"Всероссийская олимпиада",2013,"ГБОУ гимназия № 1522",10,"призёр","Обществознание",3
2015,"Московская олимпиада",2016,"ГБОУ СОШ № 807",8,"призёр","Биология",3
2016,"Всероссийская олимпиада",2017,"АНО «Православная общеобразовательная школа-пансион «Плесково»",10,"призёр","Литература",4
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 1409",9,"призёр","Основы безопасности жизнедеятельности",5
2015,"Районная олимпиада",2016,"ГБОУ школа № 1434",11,"призёр","Экономика",5
2015,"Всероссийская олимпиада",2016,"ГБОУ лицей «Вторая школа»",11,"победитель","Иностранный язык (немецкий язык)",4
2019,"Районная олимпиада",2020,"ГБОУ школа № 1409",11,"призёр","Обществознание",4
2014,"Московская олимпиада",2015,"ГБОУ лицей № 1535",10,"призёр","Экономика",3
2015,"Районная олимпиада",2016,"ГБОУ лицей № 1547",10,"призёр","Экология",5
2014,"Всероссийская олимпиада",2015,"МАОУ «Лицей города Троицка»",11,"призёр","География",4
2015,"Московская олимпиада",2016,"ГБОУ лицей № 1575",9,"призёр","филология",4
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 2107",9,"победитель","Иностранный язык (французский язык)",4
2018,"Московская олимпиада",2019,"ГБОУ Шуваловская школа № 1448",10,"призёр","Право",5
2017,"Московская олимпиада",2018,"ГБОУ школа № 1637",6,"призёр","Изобразительное искусство",5
2012,"Московская олимпиада",2013,"ГБОУ лицей № 1581",10,"призёр","Физика",4
2019,"Всероссийская олимпиада",2020,"АНО «ОШ центра педагогического мастерства»",11,"призёр","Химия",5
2016,"Московская олимпиада",2017,"НИУ ВШЭ. лицей",11,"призёр","Обществознание",3
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 1536",11,"победитель","Экономика",3
2013,"Всероссийская олимпиада",2014,"ГБОУ Московская гимназия на Юго-Западе № 1543",11,"призёр","Обществознание",4
2019,"Всероссийская олимпиада",2020,"ГБПОУ Киноколледж № 40 «Московская международная киношкола»",9,"призёр","Иностранный язык (английский язык)",5
2015,"Всероссийская олимпиада",2016,"ГБОУ школа № 57",10,"призёр","Физика",5
2015,"Московская олимпиада",2016,"ГБОУ лицей № 1557",10,"призёр","астрономия",3
2018,"Всероссийская олимпиада",2019,"ГБОУ школа № 57",10,"победитель","Литература",3
2016,"Всероссийская олимпиада",2017,"ГБОУ школа № 1279",11,"призёр","Экономика",5
2018,"Районная олимпиада",2019,"ГБОУ школа № 1449",11,"призёр","Обществознание",5
2019,"Районная олимпиада",2020,"ГБОУ школа № 1329",9,"призёр","Физика",3
2017,"Всероссийская олимпиада",2018,"ГБОУ школа № 57",9,"призёр","Физика",3
2017,"Всероссийская олимпиада",2018,"ГБОУ школа «Интеллектуал»",9,"призёр","Обществознание",3
2015,"Всероссийская олимпиада",2016,"ГБОУ «Школа-интернат «Интеллектуал»",9,"призёр","Физика",5
2018,"Московская олимпиада",2019,"ГБОУ школа № 2101",10,"победитель","Информатика",4
2016,"Московская олимпиада",2017,"ГБОУ лицей № 1367",8,"призёр","Химия",5
2014,"Районная олимпиада",2015,"ГБОУ СОШ № 1245",11,"призёр","Экология",4
2014,"Всероссийская олимпиада",2015,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",10,"призёр","Биология",5
2018,"Всероссийская олимпиада",2019,"ГБОУ «Школа Глория»",9,"призёр","Обществознание",4
2015,"Московская олимпиада",2016,"ГБОУ лицей «Вторая школа»",8,"призёр","Математика",3
2014,"Всероссийская олимпиада",2015,"ГБОУ школа № 1329",9,"призёр","Физика",5
2019,"Всероссийская олимпиада",2020,"ГБОУ школа № 2031",9,"призёр","Физическая культура",3
