"Year_begin","OlympiadType","Status","ShortName","TeamSize","Subject","Class","Year_end"
2019,"Всероссийская олимпиада","призёр","лицей НИУ ВШЭ",5,"Право",9,2020
2013,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1553 им. В. И. Вернадского",3,"Литература",11,2014
2017,"Районная олимпиада","призёр","ГБОУ школа № 1535",5,"История",9,2018
2019,"Районная олимпиада","призёр","ГБОУ школа № 57",5,"Биология",11,2020
2012,"Московская олимпиада","призёр","ГБОУ школа № 171",3,"Технология",9,2013
2014,"Московская олимпиада","призёр","ФГКОУ «МКК ПВ МО РФ»",3,"Химия",8,2015
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1547",3,"Основы безопасности жизнедеятельности",11,2019
2013,"Московская олимпиада","призёр","ГБОУ Физматшкола 2007",3,"Физика",8,2014
2019,"Районная олимпиада","призёр","ГБОУ школа № 1355",5,"Биология",10,2020
2018,"Московская олимпиада","призёр","ГБОУ школа в Капотне",3,"филология",5,2019
2014,"Московская олимпиада","победитель","ГБОУ СОШ № 1208",4,"Биология",5,2015
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1506",5,"Обществознание",11,2020
2012,"Всероссийская олимпиада","призёр","ГБОУ ЦО № 1089 «Коллаж» города Москвы",5,"Мировая Художественная Культура (МХК)",9,2013
2012,"Московская олимпиада","призёр","ГБОУ СОШ № 842",4,"Физика",8,2013
2017,"Московская олимпиада","призёр","ГБОУ школа № 138",5,"Изобразительное искусство",10,2018
2017,"Московская олимпиада","победитель","ГБОУ школа № 1376",5,"филология",9,2018
2012,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1530 «Школа Ломоносова»",5,"История",9,2013
2017,"Всероссийская олимпиада","призёр","МАОУ «Гимназия имени Н.В. Пушкова»",5,"Литература",11,2018
2013,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1576",3,"Русский язык",11,2014
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1535",5,"Литература",9,2020
2018,"Всероссийская олимпиада","призёр","ГБОУ школа «Покровский квартал»",5,"Биология",11,2019
2013,"Районная олимпиада","призёр","МАОУ «Лицей города Троицка»",4,"Химия",10,2014
2015,"Всероссийская олимпиада","призёр","ГБОУ школа № 2054",5,"История",10,2016
2015,"Всероссийская олимпиада","победитель","НИУ ВШЭ. лицей",5,"Экономика",11,2016
2017,"Всероссийская олимпиада","призёр","ГАОУ школа № 548",4,"История",10,2018
2015,"Всероссийская олимпиада","призёр","ГБОУ школа № 1195",3,"Обществознание",10,2016
2016,"Всероссийская олимпиада","призёр","ГБОУ школа № 171",5,"Биология",11,2017
2015,"Районная олимпиада","призёр","ГБОУ школа № 57",4,"Математика",11,2016
2018,"Московская олимпиада","призёр","ГБОУ школа № 57",3,"Экономика",8,2019
2018,"Всероссийская олимпиада","победитель","ГБОУ Шуваловская школа № 1448",5,"Право",9,2019
2013,"Районная олимпиада","призёр","ГБОУ Физматшкола 2007",5,"Информатика",9,2014
2015,"Всероссийская олимпиада","призёр","ГБОУ школа № 1143",5,"Литература",11,2016
2017,"Московская олимпиада","призёр","ГБОУ школа № 2007 ФМШ",5,"Экономика",5,2018
2018,"Московская олимпиада","победитель","ГБОУ школа № 345",5,"Изобразительное искусство",8,2019
2018,"Московская олимпиада","призёр","ГБОУ школа № 152",5,"Экология",7,2019
2017,"Всероссийская олимпиада","призёр","ГБОУ школа Марьина Роща имени В.Ф. Орлова",3,"История",10,2018
2015,"Всероссийская олимпиада","призёр","ГБОУ лицей № 138",4,"Мировая Художественная Культура (МХК)",9,2016
2017,"Всероссийская олимпиада","призёр","ГБОУ «Школа Глория»",4,"Экология",9,2018
2018,"Всероссийская олимпиада","призёр","университетская гимназия",4,"География",10,2019
2016,"Московская олимпиада","призёр","ГБОУ школа № 1353",5,"Технология",5,2017
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 1568",4,"Химия",9,2020
2015,"Всероссийская олимпиада","призёр","ГБОУ школа № 1454 «Центр образования Тимирязевский»",3,"География",9,2016
2016,"Всероссийская олимпиада","призёр","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",4,"Физика",11,2017
2019,"Всероссийская олимпиада","победитель","ГБОУ школа № 2101",5,"Физика",11,2020
2017,"Всероссийская олимпиада","призёр","ГБОУ школа № 218",4,"Обществознание",11,2018
2014,"Московская олимпиада","призёр","ГБОУ школа № 2089",5,"филология",8,2015
2017,"Московская олимпиада","призёр","ГБОУ школа № 1315",5,"филология",8,2018
2012,"Всероссийская олимпиада","призёр","ГБОУ лицей № 1557",5,"История",10,2013
2019,"Всероссийская олимпиада","победитель","ГБОУ школа имени Маршала В.И. Чуйкова",3,"Химия",11,2020
2013,"Всероссийская олимпиада","призёр","ГБОУ СОШ № 641 имени С. Есенина",3,"Экология",10,2014
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 656 имени А.С. Макаренко",3,"Обществознание",11,2020
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1329",5,"Физика",9,2019
2016,"Всероссийская олимпиада","призёр","ГБОУ гимназия № 1519",3,"Основы безопасности жизнедеятельности",9,2017
2018,"Московская олимпиада","призёр","ГБОУ школа № 1270",4,"филология",9,2019
2018,"Всероссийская олимпиада","призёр","ГБОУ школа имени Маршала В.И. Чуйкова",3,"Русский язык",9,2019
2018,"Всероссийская олимпиада","победитель","ГБОУ школа № 2054",3,"Иностранный язык (итальянский язык)",11,2019
2015,"Московская олимпиада","призёр","ГБОУ школа № 2101",4,"Математика",7,2016
2019,"Всероссийская олимпиада","призёр","ГБОУ школа № 2101",5,"Математика",10,2020
2018,"Московская олимпиада","победитель","ГБОУ школа № 1502 при МЭИ",4,"Мировая Художественная Культура (МХК)",10,2019
2015,"Всероссийская олимпиада","призёр","ГБОУ школа № 1252 имени Сервантеса",4,"Иностранный язык (испанский язык)",11,2016
2018,"Всероссийская олимпиада","призёр","ГБОУ школа № 1231",4,"Иностранный язык (английский язык)",10,2019
2016,"Московская олимпиада","призёр","ГБОУ Физматшкола № 2007",5,"Математика",8,2017
2012,"Всероссийская олимпиада","призёр","ГАОУ ВО МИОО. СОШ № 179",3,"Математика",9,2013
2017,"Московская олимпиада","победитель","ГБОУ школа № 1543",4,"Математика",9,2018
2014,"Всероссийская олимпиада","призёр","ГБОУ школа № 2009",4,"Физическая культура",11,2015
2015,"Московская олимпиада","призёр","ГАОУ «Гимназия № 1518»",4,"Биология",5,2016
