"Class","Year_begin","Year_end","Subject","ShortName","TeamSize","Status","OlympiadType"
9,2018,2019,"Физика","ГБОУ школа № 179",5,"победитель","Всероссийская олимпиада"
9,2016,2017,"География","ГБОУ гимназия № 1576",5,"призёр","Районная олимпиада"
5,2015,2016,"Технология","ГБОУ школа № 705",3,"призёр","Московская олимпиада"
11,2016,2017,"Обществознание","ГБОУ школа № 1905",5,"призёр","Всероссийская олимпиада"
8,2016,2017,"История","ГБОУ ММГ",4,"призёр","Московская олимпиада"
10,2017,2018,"Химия","ГБОУ школа № 1568",5,"призёр","Московская олимпиада"
7,2014,2015,"Изобразительное искусство","ГБОУ школа № 1362",4,"призёр","Московская олимпиада"
10,2016,2017,"История","ГБОУ лицей № 1502 при МЭИ",5,"призёр","Московская олимпиада"
8,2018,2019,"Право","ГБОУ Шуваловская школа № 1448",3,"призёр","Всероссийская олимпиада"
10,2016,2017,"Изобразительное искусство","ГБОУ гимназия № 1576",4,"призёр","Московская олимпиада"
6,2017,2018,"Изобразительное искусство","ГБОУ школа № 1560",3,"призёр","Московская олимпиада"
7,2015,2016,"филология","ГБОУ лицей № 429 «Соколиная гора»",5,"призёр","Московская олимпиада"
11,2018,2019,"астрономия","ГБОУ школа № 2007 ФМШ",3,"призёр","Всероссийская олимпиада"
5,2016,2017,"История","ГБОУ школа № 924",3,"призёр","Московская олимпиада"
10,2019,2020,"Обществознание","университетская гимназия",4,"призёр","Районная олимпиада"
11,2018,2019,"Биология","ГБОУ школа № 179",4,"призёр","Всероссийская олимпиада"
9,2016,2017,"Информатика","ГБОУ школа № 1329",3,"призёр","Районная олимпиада"
6,2018,2019,"Робототехника","ГБОУ школа № 1583",4,"призёр","Московская олимпиада"
10,2015,2016,"Физика","ГБОУ лицей «Вторая школа»",5,"призёр","Всероссийская олимпиада"
9,2018,2019,"Литература","ГБОУ школа № 1532",4,"призёр","Всероссийская олимпиада"
9,2017,2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ школа № 1173",5,"призёр","Всероссийская олимпиада"
10,2019,2020,"Иностранный язык (английский язык)","ГБОУ школа № 179",3,"призёр","Районная олимпиада"
10,2013,2014,"Экология","ГБОУ лицей № 1535",3,"призёр","Всероссийская олимпиада"
10,2015,2016,"астрономия","ГБОУ лицей № 1557",4,"призёр","Московская олимпиада"
10,2015,2016,"Литература","ГБОУ школа № 1747",3,"призёр","Всероссийская олимпиада"
10,2012,2013,"Математика","ГБОУ ЦО № 218",4,"призёр","Всероссийская олимпиада"
9,2015,2016,"Биология","ГБОУ школа № 1210",4,"победитель","Всероссийская олимпиада"
6,2017,2018,"Технология","ГБОУ школа № 2036",4,"призёр","Московская олимпиада"
8,2014,2015,"Химия","ГБОУ лицей № 1568",5,"призёр","Московская олимпиада"
8,2014,2015,"География","ГБОУ школа № 1353",4,"призёр","Московская олимпиада"
9,2017,2018,"филология","ГБОУ школа № 1512",5,"призёр","Московская олимпиада"
6,2018,2019,"Изобразительное искусство","ГБОУ школа № 1514",4,"призёр","Московская олимпиада"
9,2019,2020,"Математика","ГБОУ «Лицей «Вторая школа»",5,"призёр","Всероссийская олимпиада"
11,2013,2014,"Русский язык","ГБОУ СОШ № 1270",3,"призёр","Районная олимпиада"
11,2019,2020,"Физика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",5,"призёр","Всероссийская олимпиада"
11,2017,2018,"Химия","ГБОУ школа № 1253",4,"призёр","Московская олимпиада"
10,2014,2015,"Физика","ГБОУ гимназия № 1567",5,"призёр","Всероссийская олимпиада"
11,2015,2016,"Иностранный язык (немецкий язык)","ГБОУ школа № 1222",4,"победитель","Всероссийская олимпиада"
9,2018,2019,"Физика","ГБОУ школа № 1329",5,"призёр","Всероссийская олимпиада"
9,2017,2018,"Математика","ГБОУ лицей «Вторая школа»",3,"призёр","Московская олимпиада"
5,2014,2015,"История","ГБОУ школа № 641 имени С. Есенина",4,"призёр","Московская олимпиада"
9,2015,2016,"Биология","ГБОУ СОШ № 654 имени А.Д. Фридмана",3,"призёр","Всероссийская олимпиада"
10,2017,2018,"Русский язык","Предуниверситарий НИЯУ МИФИ",3,"призёр","Всероссийская олимпиада"
11,2014,2015,"Литература","ГБОУ СОШ № 56",3,"призёр","Районная олимпиада"
11,2013,2014,"Биология","ГБОУ гимназия № 1514",5,"призёр","Районная олимпиада"
8,2016,2017,"Физика","ГБОУ лицей № 1568",5,"призёр","Московская олимпиада"
9,2016,2017,"филология","ГБОУ школа № 870",4,"призёр","Московская олимпиада"
10,2018,2019,"Русский язык","университетская гимназия",4,"призёр","Районная олимпиада"
8,2018,2019,"Экология","ГБОУ школа № 1575",4,"призёр","Московская олимпиада"
9,2015,2016,"Экология","ГБОУ школа № 1980",5,"победитель","Всероссийская олимпиада"
9,2016,2017,"Физика","ГАОУ ВО МИОО. СОШ № 179",4,"призёр","Районная олимпиада"
6,2013,2014,"Технология","ГБОУ школа № 1125",5,"призёр","Московская олимпиада"
11,2019,2020,"Физическая культура","ГБОУ школа № 1252",4,"призёр","Всероссийская олимпиада"
6,2013,2014,"Технология","ФГКОУ «МКК ПВ МО РФ»",3,"победитель","Московская олимпиада"
10,2016,2017,"Обществознание","ГБОУ школа № 17",4,"призёр","Районная олимпиада"
8,2017,2018,"Химия","ГБОУ школа № 1288",3,"призёр","Московская олимпиада"
11,2019,2020,"Экономика","ГБПОУ «Воробьевы горы»",4,"призёр","Всероссийская олимпиада"
9,2013,2014,"Иностранный язык (французский язык)","ГБОУ школа № 1284",3,"призёр","Районная олимпиада"
7,2018,2019,"филология","ГБОУ школа № 218",3,"призёр","Московская олимпиада"
11,2016,2017,"Физика","ГБОУ лицей «Вторая школа»",3,"призёр","Всероссийская олимпиада"
5,2018,2019,"Экология","ГБОУ школа № 924",3,"призёр","Московская олимпиада"
11,2015,2016,"Обществознание","ГБОУ школа № 1363",5,"победитель","Районная олимпиада"
10,2019,2020,"История","лицей НИУ ВШЭ",4,"призёр","Всероссийская олимпиада"
11,2013,2014,"Иностранный язык (английский язык)","ГБОУ Лингвистический лицей № 1555",3,"призёр","Всероссийская олимпиада"
11,2019,2020,"Биология","ГБОУ школа № 962",5,"призёр","Всероссийская олимпиада"
11,2013,2014,"Биология","ГБОУ гимназия № 1530 «Школа Ломоносова»",5,"призёр","Всероссийская олимпиада"
9,2018,2019,"Право","ГБОУ школа № 152",4,"призёр","Московская олимпиада"
9,2017,2018,"Русский язык","ГБОУ школа № 1547",5,"призёр","Всероссийская олимпиада"
10,2019,2020,"Математика","ГБОУ школа № 179",4,"призёр","Всероссийская олимпиада"
7,2018,2019,"География","ГБОУ школа № 1298 «Профиль Куркино»",5,"призёр","Московская олимпиада"
10,2017,2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ школа «Интеллектуал»",5,"призёр","Всероссийская олимпиада"
9,2016,2017,"Математика","ГБОУ школа № 57",3,"призёр","Районная олимпиада"
10,2017,2018,"Иностранный язык (английский язык)","ГБОУ школа № 1247",3,"призёр","Всероссийская олимпиада"
10,2015,2016,"Литература","ГБОУ Многопрофильный лицей № 1799",5,"призёр","Всероссийская олимпиада"
9,2014,2015,"Русский язык","ГБОУ гимназия № 1573",5,"призёр","Всероссийская олимпиада"
10,2012,2013,"Математика","ГАОУ ВО МИОО. СОШ № 179",3,"призёр","Московская олимпиада"
9,2016,2017,"Мировая Художественная Культура (МХК)","ГБОУ ГСГ",4,"призёр","Всероссийская олимпиада"
10,2017,2018,"Физика","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ",4,"призёр","Московская олимпиада"
9,2016,2017,"Химия","ГБОУ школа № 192",5,"призёр","Московская олимпиада"
10,2018,2019,"Математика","ГБОУ школа № 179",5,"призёр","Московская олимпиада"
10,2012,2013,"Математика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",5,"призёр","Всероссийская олимпиада"
10,2014,2015,"Экономика","ГБОУ гимназия № 1567",3,"призёр","Всероссийская олимпиада"
10,2016,2017,"Информатика","ГБОУ лицей № 1568",4,"призёр","Всероссийская олимпиада"
10,2019,2020,"Основы безопасности жизнедеятельности","ГБОУ школа № 1539",4,"победитель","Районная олимпиада"
11,2017,2018,"Экология","ГБОУ школа № 1748",3,"призёр","Всероссийская олимпиада"
11,2019,2020,"Русский язык","ГБОУ школа № 1579",3,"призёр","Районная олимпиада"
9,2017,2018,"Литература","ГБОУ школа № 1980",5,"призёр","Районная олимпиада"
9,2013,2014,"Обществознание","ГБОУ лицей № 1548",3,"призёр","Всероссийская олимпиада"
9,2019,2020,"Иностранный язык (английский язык)","ГБОУ школа № 1542",4,"призёр","Районная олимпиада"
9,2016,2017,"Физическая культура","ГБОУ школа № 2127",4,"призёр","Всероссийская олимпиада"
10,2018,2019,"Литература","ГБОУ школа № 1980",4,"призёр","Всероссийская олимпиада"
11,2018,2019,"Иностранный язык (английский язык)","ГБОУ школа № 1130",4,"призёр","Районная олимпиада"
11,2013,2014,"История","ГБОУ СОШ № 1270",4,"призёр","Всероссийская олимпиада"
8,2016,2017,"Математика","ГБОУ Физматшкола № 2007",3,"призёр","Московская олимпиада"
11,2013,2014,"Информатика","ГБОУ Московская гимназия на Юго-Западе № 1543",4,"призёр","Районная олимпиада"
10,2016,2017,"Экономика","ГБОУ школа № 315",4,"призёр","Всероссийская олимпиада"
11,2014,2015,"Физика","ГБОУ лицей № 1557",4,"победитель","Районная олимпиада"
11,2014,2015,"Иностранный язык (английский язык)","ГБОУ СОШ № 1145",3,"призёр","Районная олимпиада"
11,2018,2019,"Русский язык","ГБОУ школа № 1374",3,"призёр","Всероссийская олимпиада"
9,2017,2018,"Физика","ГБОУ школа № 444",3,"призёр","Всероссийская олимпиада"
9,2015,2016,"Физика","ГБОУ лицей № 1580",3,"призёр","Районная олимпиада"
5,2017,2018,"Робототехника","ГАОУ школа № 548",5,"призёр","Московская олимпиада"
11,2017,2018,"Обществознание","ГБОУ школа № 218",5,"победитель","Московская олимпиада"
9,2016,2017,"Информатика","ГБОУ школа «Интеллектуал»",5,"победитель","Всероссийская олимпиада"
9,2014,2015,"Обществознание","ГБОУ школа № 1288",5,"призёр","Всероссийская олимпиада"
10,2012,2013,"Математика","ГАОУ ВО МИОО. СОШ № 179",3,"призёр","Московская олимпиада"
9,2017,2018,"Биология","ГБОУ школа № 1329",3,"призёр","Всероссийская олимпиада"
9,2018,2019,"Химия","ГБОУ школа № 2007 ФМШ",5,"победитель","Московская олимпиада"
11,2018,2019,"Иностранный язык (английский язык)","ГБОУ школа № 117",4,"победитель","Всероссийская олимпиада"
10,2015,2016,"Экология","ГБОУ школа № 171",4,"призёр","Всероссийская олимпиада"
11,2015,2016,"Математика","ГБОУ лицей «Вторая школа»",5,"призёр","Всероссийская олимпиада"
8,2017,2018,"Химия","ГБОУ школа № 656 имени А.С. Макаренко",3,"призёр","Московская олимпиада"
11,2013,2014,"Биология","ГБОУ школа № 1420",5,"призёр","Всероссийская олимпиада"
10,2018,2019,"Технология","ГБОУ школа № 1363",5,"победитель","Московская олимпиада"
9,2017,2018,"Химия","ГБОУ школа № 444",3,"победитель","Всероссийская олимпиада"
11,2015,2016,"Обществознание","ГБОУ лицей № 1557",4,"призёр","Всероссийская олимпиада"
9,2014,2015,"Химия","ГБОУ лицей № 1568",3,"призёр","Районная олимпиада"
6,2012,2013,"предпринимательство","ГБОУ СОШ № 706",3,"победитель","Московская олимпиада"
9,2016,2017,"Биология","ГБОУ гимназия № 1567",3,"победитель","Всероссийская олимпиада"
10,2015,2016,"Информатика","ГБОУ школа № 57",4,"призёр","Всероссийская олимпиада"
11,2015,2016,"Иностранный язык (испанский язык)","ГБОУ гимназия № 1558 имени Росалии де Кастро",3,"призёр","Всероссийская олимпиада"
6,2013,2014,"История","ГБОУ ЦО № 218",3,"призёр","Московская олимпиада"
11,2018,2019,"Иностранный язык (английский язык)","ГБОУ «Школа Глория»",3,"призёр","Всероссийская олимпиада"
11,2013,2014,"астрономия","ГБОУ лицей № 1502 при МЭИ",4,"призёр","Районная олимпиада"
11,2016,2017,"Физика","ГБОУ школа № 853",4,"призёр","Районная олимпиада"
9,2016,2017,"Химия","ГБОУ школа № 2033",4,"победитель","Московская олимпиада"
11,2013,2014,"Иностранный язык (английский язык)","ГБОУ СОШ № 1232",5,"призёр","Всероссийская олимпиада"
9,2018,2019,"Физика","ГБОУ школа № 1547",3,"призёр","Районная олимпиада"
10,2018,2019,"Иностранный язык (итальянский язык)","ГБОУ школа № 710",3,"призёр","Всероссийская олимпиада"
9,2018,2019,"Литература","ГБОУ школа № 814",4,"призёр","Всероссийская олимпиада"
9,2016,2017,"Математика","ГБОУ школа № 171",5,"призёр","Всероссийская олимпиада"
8,2017,2018,"Химия","ГБОУ школа № 1501",3,"призёр","Московская олимпиада"
10,2013,2014,"Математика","ГБОУ лицей № 1523",3,"призёр","Всероссийская олимпиада"
7,2015,2016,"Физика","ГБОУ Физматшкола № 2007",5,"призёр","Московская олимпиада"
9,2016,2017,"Математика","ГБОУ лицей «Вторая школа»",3,"призёр","Всероссийская олимпиада"
9,2015,2016,"Основы безопасности жизнедеятельности","ГБОУ школа № 1944",3,"призёр","Всероссийская олимпиада"
10,2019,2020,"История","ГБОУ школа № 625",5,"призёр","Всероссийская олимпиада"
10,2014,2015,"Иностранный язык (английский язык)","ГБОУ школа № 1253",4,"призёр","Всероссийская олимпиада"
9,2015,2016,"Обществознание","ГБОУ лицей № 1535",5,"призёр","Всероссийская олимпиада"
9,2014,2015,"Изобразительное искусство","ГБОУ СОШ № 1432 «Новая школа»",4,"призёр","Московская олимпиада"
10,2017,2018,"Изобразительное искусство","ГБПОУ «1-й МОК»",3,"призёр","Московская олимпиада"
10,2014,2015,"Биология","ГБОУ школа № 171",4,"призёр","Всероссийская олимпиада"
10,2014,2015,"Биология","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",4,"призёр","Районная олимпиада"
11,2014,2015,"История","ГБОУ СОШ № 709",3,"призёр","Всероссийская олимпиада"
7,2018,2019,"Математика","ОАНО «Школа «ЛЕТОВО»",3,"призёр","Московская олимпиада"
11,2015,2016,"География","ГБОУ школа № 1454 «Центр образования Тимирязевский»",4,"победитель","Районная олимпиада"
11,2016,2017,"Физика","ГБОУ школа № 1329",5,"призёр","Всероссийская олимпиада"
10,2018,2019,"Обществознание","ГБОУ школа № 1359",5,"победитель","Московская олимпиада"
9,2015,2016,"Право","ГБОУ школа № 1329",5,"победитель","Московская олимпиада"
10,2015,2016,"Право","ГБОУ школа № 7",5,"призёр","Всероссийская олимпиада"
11,2015,2016,"Изобразительное искусство","ГБПОУ колледж легкой промышленности",5,"призёр","Московская олимпиада"
11,2014,2015,"Информатика","ГБОУ СКОШИ VII вида № 73",5,"призёр","Московская олимпиада"
11,2015,2016,"Обществознание","ГБОУ «Школа-интернат «Интеллектуал»",4,"призёр","Всероссийская олимпиада"
11,2019,2020,"История","ГБОУ школа № 1579",3,"призёр","Всероссийская олимпиада"
11,2019,2020,"Иностранный язык (английский язык)","ГБОУ школа № 1520 им. Капцовых",3,"победитель","Всероссийская олимпиада"
10,2017,2018,"Основы безопасности жизнедеятельности","ГБОУ школа № 883",3,"призёр","Районная олимпиада"
11,2017,2018,"Иностранный язык (английский язык)","НИУ ВШЭ. лицей",3,"призёр","Всероссийская олимпиада"
9,2014,2015,"Право","ГБОУ СОШ № 1246",5,"призёр","Районная олимпиада"
5,2013,2014,"История","ГБОУ СОШ № 1020",3,"призёр","Московская олимпиада"
10,2016,2017,"Русский язык","ГБОУ школа № 1353",5,"призёр","Районная олимпиада"
11,2018,2019,"Обществознание","ГБОУ школа № 843",4,"призёр","Всероссийская олимпиада"
11,2016,2017,"Иностранный язык (английский язык)","ГБОУ гимназия № 1274",5,"призёр","Всероссийская олимпиада"
