"Year_begin","OlympiadType","Status","Year_end","TeamSize","Class","ShortName","Subject"
2015,"Московская олимпиада","призёр",2016,4,10,"НОУ гимназия «Московская экономическая школа»","Экономика"
2018,"Всероссийская олимпиада","призёр",2019,4,9,"ГБОУ школа № 17","Мировая Художественная Культура (МХК)"
2014,"Районная олимпиада","призёр",2015,3,10,"ГБОУ гимназия № 1541","Русский язык"
2016,"Московская олимпиада","призёр",2017,5,9,"ГБОУ ЛГК на Юго-Востоке","Химия"
2018,"Московская олимпиада","призёр",2019,5,11,"ГАОУ школа № 1306 - «Школа молодых политиков»","филология"
2017,"Московская олимпиада","призёр",2018,4,10,"ГБОУ школа № 1568","Химия"
2012,"Московская олимпиада","победитель",2013,3,11,"НОУ гимназия «Московская экономическая школа»","Экономика"
2018,"Всероссийская олимпиада","призёр",2019,3,11,"ГБОУ школа № 171","Биология"
2013,"Московская олимпиада","призёр",2014,3,11,"ГБОУ лицей № 1535","Химия"
2019,"Всероссийская олимпиада","призёр",2020,3,10,"ГБОУ школа имени Маршала В.И. Чуйкова","Химия"
2017,"Всероссийская олимпиада","призёр",2018,4,11,"ГБОУ школа № 1297","История"
2018,"Московская олимпиада","победитель",2019,3,10,"ГБОУ школа № 1535","История"
2018,"Всероссийская олимпиада","призёр",2019,5,9,"ГБОУ школа № 1253","Экология"
2012,"Московская олимпиада","призёр",2013,3,9,"ГБОУ СОШ № 1441 «Бронная слобода»","Изобразительное искусство"
2018,"Всероссийская олимпиада","победитель",2019,4,10,"ГБОУ школа № 1520 им. Капцовых","Экология"
2015,"Всероссийская олимпиада","призёр",2016,3,9,"ГБОУ Московская гимназия на Юго-Западе № 1543","Информатика"
2017,"Районная олимпиада","призёр",2018,3,10,"ГБОУ школа № 1252","География"
2018,"Московская олимпиада","победитель",2019,4,9,"ГБОУ школа «Интеллектуал»","Информатика"
2017,"Всероссийская олимпиада","победитель",2018,4,11,"ГБОУ школа № 1547","Иностранный язык (английский язык)"
2015,"Всероссийская олимпиада","призёр",2016,3,11,"ГБОУ гимназия № 1563","Иностранный язык (английский язык)"
2014,"Всероссийская олимпиада","призёр",2015,3,10,"ГБОУ школа № 1234","Мировая Художественная Культура (МХК)"
2016,"Всероссийская олимпиада","призёр",2017,4,10,"ГБОУ школа № 1944","Биология"
2015,"Всероссийская олимпиада","призёр",2016,3,11,"ГБОУ школа № 1284","География"
2015,"Всероссийская олимпиада","призёр",2016,5,11,"ГБОУ гимназия № 1519","Обществознание"
2018,"Всероссийская олимпиада","призёр",2019,3,9,"ГАОУ школа № 548","Мировая Художественная Культура (МХК)"
2015,"Московская олимпиада","победитель",2016,5,5,"ГАОУ ЦО № 548","Изобразительное искусство"
2017,"Районная олимпиада","призёр",2018,5,9,"ГБОУ школа № 554","Основы безопасности жизнедеятельности"
2018,"Московская олимпиада","призёр",2019,4,5,"ГБОУ школа № 1748","География"
2018,"Всероссийская олимпиада","призёр",2019,5,10,"ГБПОУ «Воробьевы горы»","Физика"
2019,"Всероссийская олимпиада","призёр",2020,5,10,"лицей НИУ ВШЭ","Обществознание"
2018,"Московская олимпиада","призёр",2019,4,7,"ГБОУ «Школа № 597 «Новое Поколение»","Бюджетная грамотность"
2012,"Всероссийская олимпиада","победитель",2013,3,11,"ГБОУ гимназия № 1576","Литература"
2012,"Московская олимпиада","призёр",2013,4,6,"ГБОУ СОШ № 149","Биология"
2015,"Всероссийская олимпиада","призёр",2016,3,9,"ГБОУ школа № 57","Биология"
2014,"Московская олимпиада","призёр",2015,3,7,"ГБОУ СОШ № 962","Экономика"
2016,"Всероссийская олимпиада","призёр",2017,4,9,"ГБОУ лицей № 1561","Русский язык"
2015,"Московская олимпиада","призёр",2016,3,7,"ГБОУ школа № 1354","География"
2018,"Московская олимпиада","призёр",2019,3,6,"ГАОУ школа «ШИК 16»","Изобразительное искусство"
2013,"Московская олимпиада","призёр",2014,4,5,"ГБОУ СОШ № 1429","Изобразительное искусство"
2015,"Всероссийская олимпиада","призёр",2016,5,10,"ГБОУ лицей «Вторая школа»","Математика"
2017,"Московская олимпиада","призёр",2018,5,6,"ГБОУ школа № 1573","филология"
2016,"Московская олимпиада","призёр",2017,5,6,"ГБОУ школа № 1366","Изобразительное искусство"
2013,"Всероссийская олимпиада","призёр",2014,5,9,"ГБОУ лицей № 1523","Информатика"
