"Class","Year_begin","Subject","ShortName","Year_end","OlympiadType","Status","TeamSize"
7,2018,"География","ГБОУ школа «Интеллектуал»",2019,"Московская олимпиада","призёр",4
10,2015,"Физика","ГБОУ школа № 1329",2016,"Московская олимпиада","победитель",5
9,2016,"Иностранный язык (французский язык)","ГБОУ школа № 1421",2017,"Всероссийская олимпиада","призёр",4
10,2016,"Право","ФГБОУ ВО МГЛУ",2017,"Всероссийская олимпиада","призёр",4
7,2016,"Технология","ГБОУ школа № 2036",2017,"Московская олимпиада","призёр",3
10,2014,"Литература","ГБОУ гимназия № 1576",2015,"Всероссийская олимпиада","призёр",5
11,2016,"Русский язык","ГБОУ школа № 1252 имени Сервантеса",2017,"Всероссийская олимпиада","призёр",5
11,2018,"История","ГБОУ школа № 1247",2019,"Всероссийская олимпиада","призёр",5
11,2013,"Экономика","ГБОУ СОШ № 1298",2014,"Районная олимпиада","призёр",3
10,2019,"Физика","ОАНО «Школа «ЛЕТОВО»",2020,"Всероссийская олимпиада","призёр",5
11,2016,"История","ГБОУ лицей № 1535",2017,"Московская олимпиада","победитель",5
11,2019,"Обществознание","ГБОУ школа № 37",2020,"Всероссийская олимпиада","призёр",4
10,2018,"Литература","ГБОУ школа № 1474",2019,"Всероссийская олимпиада","призёр",4
10,2019,"Химия","университетская гимназия",2020,"Всероссийская олимпиада","призёр",4
11,2015,"Биология","ГАОУ ВО МИОО. СОШ № 179",2016,"Всероссийская олимпиада","призёр",5
9,2016,"Химия","ГБОУ ЛГК на Юго-Востоке",2017,"Московская олимпиада","призёр",5
9,2015,"Основы безопасности жизнедеятельности","ГБОУ школа № 2083",2016,"Всероссийская олимпиада","призёр",4
11,2013,"Химия","ГБОУ СОШ № 1412",2014,"Московская олимпиада","призёр",4
10,2016,"Изобразительное искусство","ГБОУ школа № 1909 имени Героя Советского Союза А.К. Новикова",2017,"Московская олимпиада","призёр",3
10,2017,"География","ГБОУ школа № 1535",2018,"Всероссийская олимпиада","призёр",4
9,2017,"Химия","ГБОУ школа № 1636",2018,"Московская олимпиада","призёр",4
11,2013,"Биология","ГАОУ ВО МИОО. СОШ № 179",2014,"Районная олимпиада","победитель",5
9,2015,"Биология","ЧУ СОШ «Кладезь»",2016,"Районная олимпиада","призёр",3
8,2018,"Изобразительное искусство","ГБОУ школа № 1288",2019,"Московская олимпиада","победитель",5
9,2017,"Литература","ГБОУ школа № 1251 имени генерала Шарля де Голля",2018,"Всероссийская олимпиада","призёр",4
11,2019,"Экономика","лицей НИУ ВШЭ",2020,"Всероссийская олимпиада","победитель",5
9,2012,"Основы безопасности жизнедеятельности","ГБОУ ЦО № 345",2013,"Всероссийская олимпиада","призёр",3
10,2016,"География","ГБОУ школа № 962",2017,"Всероссийская олимпиада","призёр",4
10,2018,"Физика","ГБОУ школа № 1580",2019,"Московская олимпиада","призёр",5
10,2019,"Математика","ГБОУ «Лицей «Вторая школа»",2020,"Всероссийская олимпиада","призёр",3
11,2018,"Мировая Художественная Культура (МХК)","ГБОУ школа № 1512",2019,"Районная олимпиада","призёр",5
10,2019,"Русский язык","ГБОУ школа № 2033",2020,"Всероссийская олимпиада","призёр",3
11,2018,"Иностранный язык (французский язык)","ГБОУ школа № 1251 имени генерала Шарля де Голля",2019,"Всероссийская олимпиада","призёр",3
9,2017,"Экономика","ГБОУ школа № 2121",2018,"Всероссийская олимпиада","призёр",4
10,2017,"Математика","ГБОУ школа № 179",2018,"Московская олимпиада","призёр",5
6,2016,"Биология","ГБОУ лицей № 1571",2017,"Московская олимпиада","призёр",4
11,2017,"История","ГБОУ школа № 654 имени А.Д. Фридмана",2018,"Всероссийская олимпиада","призёр",5
10,2013,"Право","ГБОУ ОСОШ № 88",2014,"Районная олимпиада","призёр",3
10,2018,"Математика","ГБОУ школа № 1568",2019,"Московская олимпиада","призёр",5
6,2014,"филология","ГБОУ школа № 1252 имени Сервантеса",2015,"Московская олимпиада","призёр",3
10,2018,"Информатика","ГБОУ школа № 2007 ФМШ",2019,"Всероссийская олимпиада","призёр",3
8,2017,"Технология","ГБОУ школа № 1980",2018,"Московская олимпиада","призёр",4
9,2013,"Иностранный язык (немецкий язык)","ГБОУ лицей «Вторая школа»",2014,"Всероссийская олимпиада","призёр",4
7,2013,"Технология","ГБОУ СОШ № 929",2014,"Московская олимпиада","призёр",5
11,2012,"Иностранный язык (английский язык)","ГБОУ СОШ № 1210",2013,"Всероссийская олимпиада","призёр",3
11,2016,"Иностранный язык (немецкий язык)","ГБОУ школа № 1269",2017,"Всероссийская олимпиада","призёр",5
9,2017,"Физика","ГБОУ школа № 1329",2018,"Всероссийская олимпиада","призёр",5
9,2014,"Иностранный язык (французский язык)","ГБОУ СОШ № 1297",2015,"Всероссийская олимпиада","призёр",4
10,2013,"Физическая культура","ГБОУ СОШ № 820",2014,"Всероссийская олимпиада","призёр",3
9,2016,"Химия","ГБОУ школа № 1265",2017,"Московская олимпиада","призёр",3
10,2015,"Биология","ГБОУ лицей № 1535",2016,"Всероссийская олимпиада","победитель",3
10,2018,"Основы безопасности жизнедеятельности","ГБОУ школа № 630",2019,"Всероссийская олимпиада","призёр",4
9,2014,"Математика","ГБОУ школа № 1329",2015,"Московская олимпиада","победитель",3
10,2019,"Химия","ГБОУ школа № 1329",2020,"Всероссийская олимпиада","призёр",5
9,2015,"Основы безопасности жизнедеятельности","ГБОУ школа № 7",2016,"Всероссийская олимпиада","призёр",5
7,2017,"Робототехника","ГБОУ школа № 1501",2018,"Московская олимпиада","призёр",4
11,2019,"Мировая Художественная Культура (МХК)","лицей НИУ ВШЭ",2020,"Всероссийская олимпиада","призёр",4
9,2013,"Математика","ГБОУ лицей «Вторая школа»",2014,"Московская олимпиада","призёр",3
11,2012,"Физика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013,"Всероссийская олимпиада","призёр",4
6,2014,"Изобразительное искусство","ГБОУ лицей № 138",2015,"Московская олимпиада","призёр",3
10,2019,"Основы безопасности жизнедеятельности","ГБОУ школа «Дмитровский»",2020,"Всероссийская олимпиада","призёр",3
11,2016,"Обществознание","ГБОУ школа № 444",2017,"Московская олимпиада","победитель",4
10,2013,"История","ГБОУ СОШ № 1354",2014,"Всероссийская олимпиада","призёр",5
11,2017,"Русский язык","ГБОУ школа № 2097",2018,"Всероссийская олимпиада","призёр",5
9,2013,"География","ГБОУ гимназия № 1558",2014,"Всероссийская олимпиада","призёр",3
9,2016,"Мировая Художественная Культура (МХК)","ГБОУ школа «Интеллектуал»",2017,"Всероссийская олимпиада","победитель",3
9,2016,"Биология","ГБОУ школа «Интеллектуал»",2017,"Всероссийская олимпиада","призёр",4
6,2012,"Математика","ГБОУ Физматшкола 2007",2013,"Московская олимпиада","призёр",3
11,2016,"Литература","ГБОУ школа № 17",2017,"Всероссийская олимпиада","призёр",5
7,2017,"филология","ГБОУ школа на проспекте Вернадского",2018,"Московская олимпиада","призёр",3
6,2018,"Технология","ГБОУ школа № 185",2019,"Московская олимпиада","призёр",4
10,2018,"Иностранный язык (английский язык)","ГБОУ школа № 1535",2019,"Районная олимпиада","призёр",3
10,2013,"Мировая Художественная Культура (МХК)","ГБОУ лицей № 1303",2014,"Всероссийская олимпиада","призёр",3
11,2019,"Обществознание","ГБОУ школа № 1574",2020,"Районная олимпиада","призёр",3
10,2019,"Математика","ГБОУ школа «Интеллектуал»",2020,"Всероссийская олимпиада","победитель",4
7,2015,"филология","ГБОУ школа № 1252 имени Сервантеса",2016,"Московская олимпиада","призёр",5
5,2016,"Изобразительное искусство","ГБОУ школа № 1223",2017,"Московская олимпиада","призёр",4
6,2016,"филология","ГБОУ гимназия № 1544",2017,"Московская олимпиада","призёр",3
7,2016,"Робототехника","ГБОУ школа № 199",2017,"Московская олимпиада","призёр",4
11,2019,"Иностранный язык (немецкий язык)","ГБОУ школа № 1234",2020,"Районная олимпиада","призёр",5
9,2016,"Биология","ГБОУ школа № 171",2017,"Всероссийская олимпиада","призёр",3
10,2019,"Математика","ГБОУ «Лицей «Вторая школа»",2020,"Районная олимпиада","призёр",3
6,2015,"филология","ГБОУ школа № 771",2016,"Московская олимпиада","призёр",3
9,2016,"Основы безопасности жизнедеятельности","ГБОУ школа № 2083",2017,"Районная олимпиада","призёр",5
9,2014,"Химия","ГБОУ СОШ № 654 имени А.Д. Фридмана",2015,"Московская олимпиада","призёр",3
9,2017,"Физика","ГБОУ школа № 1329",2018,"Всероссийская олимпиада","призёр",4
9,2018,"География","ГБОУ школа № 1353",2019,"Московская олимпиада","призёр",3
10,2019,"Иностранный язык (английский язык)","ГБОУ школа № 1514",2020,"Районная олимпиада","призёр",5
10,2019,"Информатика","ГБОУ «Лицей «Вторая школа»",2020,"Всероссийская олимпиада","призёр",4
11,2015,"Технология","ГБОУ гимназия № 1507",2016,"Всероссийская олимпиада","призёр",5
10,2013,"Информатика","ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2014,"Всероссийская олимпиада","победитель",4
5,2018,"География","ФГКОУ «МКК ПВ МО РФ»",2019,"Московская олимпиада","призёр",5
9,2014,"филология","ГБОУ школа № 2089",2015,"Московская олимпиада","победитель",3
11,2014,"География","ГБОУ лицей № 1303",2015,"Всероссийская олимпиада","призёр",5
11,2014,"Иностранный язык (английский язык)","МАОУ «Гимназия имени Н.В. Пушкова»",2015,"Всероссийская олимпиада","призёр",5
10,2017,"Иностранный язык (английский язык)","НОУ СОШ «Православная Свято-Петровская школа»",2018,"Всероссийская олимпиада","призёр",4
5,2015,"Технология","ГБОУ школа № 814",2016,"Московская олимпиада","призёр",4
8,2017,"Изобразительное искусство","ГБОУ «Московская международная школа»",2018,"Московская олимпиада","призёр",3
10,2017,"Искусство (МХК)","ГБОУ школа «Интеллектуал»",2018,"Всероссийская олимпиада","призёр",3
10,2018,"Обществознание","ГБОУ школа № 1465",2019,"Всероссийская олимпиада","призёр",5
10,2019,"Физика","ГБОУ школа № 109",2020,"Всероссийская олимпиада","призёр",3
9,2016,"филология","ГБОУ лицей № 1533",2017,"Московская олимпиада","призёр",3
10,2014,"Информатика","ГБОУ «Школа-интернат «Интеллектуал»",2015,"Районная олимпиада","призёр",5
9,2016,"Литература","ГБОУ школа № 962",2017,"Всероссийская олимпиада","призёр",4
9,2019,"Основы безопасности жизнедеятельности","ГБОУ школа № 1252",2020,"Всероссийская олимпиада","призёр",3
9,2015,"Технология","ГБОУ лицей № 1502 при МЭИ",2016,"Всероссийская олимпиада","призёр",4
8,2013,"География","ГБОУ СОШ № 1189",2014,"Московская олимпиада","призёр",3
6,2012,"Биология","ГБОУ СОШ № 1384 им. А.А. Леманского",2013,"Московская олимпиада","призёр",3
9,2013,"Физика","ГБОУ лицей № 1580",2014,"Всероссийская олимпиада","призёр",5
10,2017,"Обществознание","НИУ ВШЭ. лицей",2018,"Всероссийская олимпиада","победитель",4
10,2016,"Право","ФГБОУ ВО МГЛУ",2017,"Всероссийская олимпиада","призёр",3
11,2015,"География","ГБОУ школа № 2095",2016,"Всероссийская олимпиада","призёр",4
10,2013,"История","НИУ ВШЭ. лицей",2014,"Московская олимпиада","призёр",3
11,2016,"Иностранный язык (испанский язык)","ГБОУ школа № 1252 имени Сервантеса",2017,"Районная олимпиада","призёр",3
9,2015,"Русский язык","ГБОУ лицей № 1535",2016,"Всероссийская олимпиада","призёр",3
9,2015,"филология","ГБОУ школа № 2075",2016,"Московская олимпиада","призёр",4
11,2016,"Обществознание","ГБОУ школа № 218",2017,"Всероссийская олимпиада","призёр",4
8,2014,"Изобразительное искусство","«Свято-Владимирская школа»",2015,"Московская олимпиада","победитель",5
8,2015,"Изобразительное искусство","ГБОУ школа № 1492",2016,"Московская олимпиада","призёр",5
9,2017,"Химия","ГБОУ школа № 1360",2018,"Московская олимпиада","призёр",4
10,2015,"Химия","ГБОУ лицей № 1580",2016,"Всероссийская олимпиада","призёр",4
9,2016,"Изобразительное искусство","ГБОУ гимназия № 1925",2017,"Московская олимпиада","призёр",5
9,2017,"Иностранный язык (французский язык)","ГБОУ школа № 1286",2018,"Всероссийская олимпиада","победитель",4
9,2013,"Математика","ГБОУ лицей № 1568",2014,"Районная олимпиада","призёр",3
11,2018,"Литература","университетская гимназия",2019,"Всероссийская олимпиада","призёр",3
10,2016,"Физика","ГБОУ гимназия № 1567",2017,"Районная олимпиада","призёр",3
9,2016,"Экология","ГБОУ школа № 1498",2017,"Районная олимпиада","победитель",4
8,2018,"Физическая культура","ГБОУ школа № 1363",2019,"Всероссийская олимпиада","призёр",5
5,2018,"Технология","ГБОУ школа № 1748",2019,"Московская олимпиада","призёр",3
6,2017,"Математика","ГБОУ школа № 2007 ФМШ",2018,"Московская олимпиада","призёр",4
9,2019,"Информатика","ГБОУ «Лицей «Вторая школа»",2020,"Районная олимпиада","призёр",3
10,2018,"Иностранный язык (испанский язык)","ГБОУ школа № 1252",2019,"Всероссийская олимпиада","победитель",5
9,2015,"Право","ГБОУ школа № 705",2016,"Районная олимпиада","призёр",3
5,2014,"Изобразительное искусство","ГБОУ школа № 1996",2015,"Московская олимпиада","призёр",5
5,2013,"Экономика","ГБОУ гимназия № 1518",2014,"Московская олимпиада","призёр",3
9,2012,"Изобразительное искусство","ГБОУ гимназия № 1272",2013,"Московская олимпиада","призёр",3
10,2014,"Физика","ГБОУ гимназия № 1588",2015,"Московская олимпиада","победитель",4
10,2019,"Технология","ГБОУ «Лицей «Вторая школа»",2020,"Всероссийская олимпиада","призёр",4
10,2016,"Биология","ГБОУ школа № 192",2017,"Всероссийская олимпиада","победитель",4
11,2019,"Русский язык","ГБОУ школа № 1506",2020,"Всероссийская олимпиада","призёр",5
7,2013,"Биология","ГБОУ школа-интернат «Интеллектуал»",2014,"Московская олимпиада","призёр",5
10,2016,"Биология","ГБОУ школа № 1494",2017,"Всероссийская олимпиада","призёр",3
6,2017,"Технология","ГБОУ школа № 185",2018,"Московская олимпиада","победитель",4
6,2012,"Математика","ФГБОУ гимназия № 710",2013,"Московская олимпиада","призёр",4
11,2016,"Обществознание","ГБОУ лицей № 1501",2017,"Всероссийская олимпиада","призёр",5
8,2012,"Химия","ГБОУ СОШ № 240",2013,"Московская олимпиада","призёр",4
11,2016,"Основы безопасности жизнедеятельности","ГБОУ школа № 554",2017,"Всероссийская олимпиада","призёр",4
9,2015,"Обществознание","ГБОУ школа № 1297",2016,"Всероссийская олимпиада","призёр",5
7,2017,"География","ГБОУ школа им. А. Боровика",2018,"Московская олимпиада","призёр",4
11,2015,"Иностранный язык (испанский язык)","ГБОУ гимназия № 1558 имени Росалии де Кастро",2016,"Всероссийская олимпиада","победитель",4
11,2017,"Иностранный язык (английский язык)","ГБОУ школа № 179",2018,"Районная олимпиада","призёр",4
11,2018,"Физическая культура","ГБОУ школа № 1222",2019,"Всероссийская олимпиада","призёр",4
10,2017,"Литература","ГБОУ школа № 2098 имени Героя Советского Союза Л.М. Доватора",2018,"Всероссийская олимпиада","призёр",3
9,2017,"Информатика и Информационно-коммуникационные технологии (ИКТ)","ГБОУ школа № 1568",2018,"Московская олимпиада","призёр",5
5,2017,"История","ГБОУ школа № 1944",2018,"Московская олимпиада","призёр",3
