"Status","Year_begin","TeamSize","Subject","Year_end","OlympiadType","ShortName","Class"
"призёр",2015,3,"Экономика",2016,"Московская олимпиада","ГБОУ гимназия № 1512",6
"призёр",2015,4,"Право",2016,"Районная олимпиада","ГБОУ школа № 1280",11
"призёр",2018,3,"Технология",2019,"Московская олимпиада","ГБОУ школа № 1454 «Тимирязевская»",5
"призёр",2016,3,"Физика",2017,"Московская олимпиада","ГБОУ школа № 1018",7
"победитель",2012,3,"Химия",2013,"Московская олимпиада","ГБОУ СОШ № 2038",8
"призёр",2014,3,"Математика",2015,"Московская олимпиада","ГБОУ школа № 2077",7
"призёр",2018,4,"Обществознание",2019,"Всероссийская олимпиада","ГБОУ школа № 218",9
"призёр",2017,3,"Экономика",2018,"Всероссийская олимпиада","ГБОУ школа № 1543",11
"призёр",2015,5,"Математика",2016,"Московская олимпиада","ГБОУ гимназия № 1514",11
"призёр",2018,4,"Право",2019,"Всероссийская олимпиада","ГБОУ Шуваловская школа № 1448",11
"призёр",2014,3,"Изобразительное искусство",2015,"Московская олимпиада","ГБОУ СОШ № 1955",8
"призёр",2014,3,"История",2015,"Районная олимпиада","ГБОУ гимназия № 1569",11
"призёр",2018,3,"Математика",2019,"Московская олимпиада","ГБОУ школа № 2007 ФМШ",7
"призёр",2016,5,"Обществознание",2017,"Всероссийская олимпиада","ГБОУ школа № 121",9
"призёр",2018,3,"История",2019,"Московская олимпиада","ГБОУ школа № 1950",11
"победитель",2017,5,"Литература",2018,"Всероссийская олимпиада","ГБОУ школа № 2086",10
"призёр",2014,5,"Литература",2015,"Всероссийская олимпиада","ГБОУ школа № 1944",11
"призёр",2016,3,"Иностранный язык (немецкий язык)",2017,"Всероссийская олимпиада","ГБОУ школа № 1234",11
"победитель",2015,5,"География",2016,"Московская олимпиада","ГБОУ гимназия № 1514",11
"призёр",2013,5,"География",2014,"Всероссийская олимпиада","ГБОУ СОШ № 651",11
"призёр",2018,4,"История",2019,"Всероссийская олимпиада","ГБОУ школа № 1748",11
"призёр",2016,4,"Основы безопасности жизнедеятельности",2017,"Районная олимпиада","ГБОУ школа № 1460",10
"призёр",2017,4,"Русский язык",2018,"Всероссийская олимпиада","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ",10
"призёр",2014,5,"Мировая Художественная Культура (МХК)",2015,"Всероссийская олимпиада","ГБОУ школа № 1411",10
"призёр",2015,5,"География",2016,"Всероссийская олимпиада","Предуниверситарий НИЯУ МИФИ",10
"победитель",2018,4,"Право",2019,"Всероссийская олимпиада","ГБОУ школа № 1571",9
"призёр",2015,5,"Экология",2016,"Всероссийская олимпиада","ГБОУ гимназия № 1563",10
