"TeamSize","OlympiadType","Status","Year_end","Subject","ShortName","Year_begin","Class"
5,"Московская олимпиада","призёр",2018,"Химия","ГБОУ школа имени Маршала В.И. Чуйкова",2017,9
4,"Московская олимпиада","призёр",2015,"Изобразительное искусство","ГБОУ СОШ № 1998 «Лукоморье»",2014,8
5,"Районная олимпиада","призёр",2016,"Информатика","ГБОУ гимназия № 1516",2015,10
3,"Всероссийская олимпиада","призёр",2013,"Биология","ГБОУ лицей № 1535",2012,11
3,"Всероссийская олимпиада","призёр",2019,"Иностранный язык (французский язык)","ГБОУ школа № 1541",2018,9
3,"Всероссийская олимпиада","призёр",2015,"Технология","ГБОУ школа № 1248",2014,9
4,"Московская олимпиада","призёр",2019,"История","ГБОУ школа № 2104 на Таганке",2018,6
3,"Московская олимпиада","призёр",2015,"филология","ГБОУ лицей № 1575",2014,11
3,"Всероссийская олимпиада","призёр",2020,"Физическая культура","ГБОУ школа № 2031",2019,9
4,"Московская олимпиада","призёр",2019,"Химия","ГБОУ школа № 1252",2018,9
5,"Всероссийская олимпиада","призёр",2015,"Физика","ГАОУ ВО МИОО. СОШ № 179",2014,11
4,"Всероссийская олимпиада","победитель",2020,"Право","ГБОУ школа № 1250",2019,11
4,"Всероссийская олимпиада","призёр",2019,"Основы безопасности жизнедеятельности","ГБОУ школа № 1515",2018,8
5,"Московская олимпиада","призёр",2019,"Химия","ГБОУ школа имени Маршала В.И. Чуйкова",2018,10
4,"Московская олимпиада","призёр",2018,"Право","ГБОУ школа № 1273",2017,11
4,"Всероссийская олимпиада","призёр",2014,"Биология","ГБОУ гимназия № 1534",2013,11
4,"Всероссийская олимпиада","призёр",2014,"Обществознание","ГБОУ школа № 1944",2013,9
5,"Районная олимпиада","призёр",2017,"Иностранный язык (английский язык)","НИУ ВШЭ. лицей",2016,11
5,"Всероссийская олимпиада","призёр",2020,"Иностранный язык (итальянский язык)","ГБОУ школа № 1357",2019,8
3,"Всероссийская олимпиада","призёр",2016,"Основы безопасности жизнедеятельности","ГБОУ ЦО № 1449",2015,11
5,"Всероссийская олимпиада","призёр",2019,"Математика","ГБОУ школа № 179",2018,9
3,"Московская олимпиада","призёр",2018,"Физика","ГБОУ школа № 1547",2017,9
5,"Московская олимпиада","призёр",2019,"Изобразительное искусство","ГБОУ школа № 1354 «Вектор»",2018,6
5,"Всероссийская олимпиада","призёр",2018,"Биология","ГБОУ школа № 656 имени А.С. Макаренко",2017,9
3,"Всероссийская олимпиада","призёр",2017,"География","ГБОУ школа № 89",2016,9
3,"Всероссийская олимпиада","призёр",2018,"Химия","Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ",2017,11
5,"Московская олимпиада","призёр",2014,"Информатика","ГАОУ ВО МИОО. СОШ № 179",2013,9
5,"Московская олимпиада","победитель",2018,"Изобразительное искусство","ГБОУ «Московская международная школа»",2017,5
4,"Московская олимпиада","призёр",2013,"Математика","ГАОУ ВО МИОО. СОШ № 179",2012,9
