"OlympiadType","Status","TeamSize","Subject","Year_end","Class","ShortName","Year_begin"
"Всероссийская олимпиада","призёр",5,"Основы безопасности жизнедеятельности",2015,11,"ГБОУ школа № 1103",2014
"Районная олимпиада","призёр",5,"Русский язык",2017,10,"ГБОУ школа № 1376",2016
"Всероссийская олимпиада","призёр",4,"Информатика",2015,10,"ГБОУ ЦО № 57",2014
"Московская олимпиада","призёр",4,"Экономика",2014,3,"ГБОУ гимназия № 1518",2013
"Московская олимпиада","призёр",5,"Изобразительное искусство",2017,8,"ГБОУ школа № 1955",2016
"Московская олимпиада","призёр",3,"Биология",2014,6,"ГБОУ СОШ № 323",2013
"Московская олимпиада","призёр",3,"астрономия",2019,7,"ГБОУ школа № 57",2018
"Московская олимпиада","победитель",5,"Химия",2017,11,"ГБОУ школа № 1239",2016
"Всероссийская олимпиада","победитель",5,"Экономика",2016,11,"ГБОУ лицей «Вторая школа»",2015
"Всероссийская олимпиада","призёр",3,"Физика",2015,9,"ГБОУ лицей № 1303",2014
"Всероссийская олимпиада","призёр",4,"Экономика",2019,11,"ГБОУ школа № 179",2018
"Районная олимпиада","призёр",5,"Право",2019,9,"ГБОУ школа № 1415 «Останкино»",2018
"Районная олимпиада","призёр",3,"Химия",2018,10,"ГБОУ школа № 1253",2017
"Всероссийская олимпиада","победитель",5,"Экономика",2019,11,"ГБОУ школа № 1535",2018
"Московская олимпиада","победитель",3,"Робототехника",2019,11,"ГБОУ школа № 1357",2018
"Всероссийская олимпиада","призёр",3,"Основы безопасности жизнедеятельности",2016,9,"ГБОУ ЦО № 1449",2015
"Всероссийская олимпиада","призёр",5,"Обществознание",2015,11,"ГБОУ СОШ № 1359",2014
"Всероссийская олимпиада","призёр",5,"Биология",2014,10,"ГБОУ СОШ № 192",2013
"Московская олимпиада","призёр",3,"Математика",2013,7,"ГБОУ Физматшкола 2007",2012
"Московская олимпиада","призёр",3,"Химия",2018,11,"ГБОУ школа имени Маршала В.И. Чуйкова",2017
"Московская олимпиада","призёр",5,"Изобразительное искусство",2015,7,"ГБОУ школа № 508",2014
"Всероссийская олимпиада","призёр",4,"Иностранный язык (английский язык)",2018,9,"ГБОУ школа «Интеграл»",2017
