"ShortName","Year_end","TeamSize","Year_begin","Subject","Status","Class","OlympiadType"
"лицей НИУ ВШЭ",2020,4,2019,"Обществознание","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1568",2019,4,2018,"Экология","призёр",6,"Московская олимпиада"
"ГАОУ ВО МИОО. СОШ № 179",2013,3,2012,"Математика","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1524",2020,4,2019,"Русский язык","призёр",11,"Районная олимпиада"
"ГБОУ лицей № 1580",2014,3,2013,"Физика","призёр",10,"Всероссийская олимпиада"
"ГБОУ Физматшкола 2007",2013,3,2012,"Математика","призёр",7,"Московская олимпиада"
"ГБОУ школа № 1503",2018,3,2017,"Химия","призёр",11,"Московская олимпиада"
"ГБОУ школа № 1270",2018,4,2017,"Иностранный язык (английский язык)","победитель",10,"Всероссийская олимпиада"
"ФГБОУ ВО МГЛУ",2017,3,2016,"Мировая Художественная Культура (МХК)","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 192",2018,4,2017,"Биология","победитель",10,"Районная олимпиада"
"ГБОУ ЛГК на Юго-Востоке",2017,4,2016,"Химия","победитель",10,"Московская олимпиада"
"ГБОУ гимназия № 1409",2017,5,2016,"Обществознание","призёр",10,"Московская олимпиада"
"ГБОУ ЦО «Тропарево»",2017,5,2016,"Мировая Художественная Культура (МХК)","призёр",9,"Районная олимпиада"
"ГАОУ ВО МИОО. СОШ № 179",2014,4,2013,"Информатика","призёр",11,"Всероссийская олимпиада"
"ГБОУ «Лицей «Вторая школа»",2019,4,2018,"Математика","победитель",11,"Всероссийская олимпиада"
"ГБОУ Инженерно-техническая школа",2020,5,2019,"Русский язык","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 17",2018,4,2017,"Право","призёр",10,"Всероссийская олимпиада"
"ГБОУ «Лицей «Вторая школа»",2019,5,2018,"Информатика","победитель",9,"Районная олимпиада"
"ГБОУ Московская гимназия на Юго-Западе № 1543",2017,4,2016,"Информатика","призёр",11,"Районная олимпиада"
"ГБОУ школа № 2031",2019,4,2018,"Физическая культура","призёр",8,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2015,5,2014,"Физика","призёр",11,"Московская олимпиада"
"ГАОУ школа № 1306 - «Школа молодых политиков»",2020,4,2019,"Литература","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 1576",2019,4,2018,"Русский язык","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1619",2018,5,2017,"География","призёр",6,"Московская олимпиада"
"ГБОУ СОШ № 460",2014,4,2013,"Физика","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 2000",2014,4,2013,"Изобразительное искусство","победитель",9,"Московская олимпиада"
"ГБОУ гимназия № 1514",2017,3,2016,"Мировая Художественная Культура (МХК)","призёр",9,"Районная олимпиада"
"ГБОУ школа № 444",2019,5,2018,"Информатика","призёр",10,"Всероссийская олимпиада"
"ГБОУ ЦО № 1953 «Москва-98»",2017,3,2016,"Физическая культура","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1468",2017,5,2016,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1514",2017,5,2016,"География","призёр",10,"Всероссийская олимпиада"
"ГБОУ СОШ № 1308",2015,4,2014,"История","призёр",10,"Всероссийская олимпиада"
"ГБОУ ЦО «Школа здоровья» № 1317",2013,3,2012,"Право","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1574",2019,4,2018,"Иностранный язык (английский язык)","призёр",10,"Всероссийская олимпиада"
"ФГБОУ ВО МГЛУ",2020,3,2019,"Обществознание","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1252",2020,5,2019,"Русский язык","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1912",2016,5,2015,"История","призёр",10,"Московская олимпиада"
"ГБОУ школа № 1194",2019,5,2018,"Химия","призёр",8,"Московская олимпиада"
"ГБОУ «Школа-интернат «Интеллектуал»",2016,4,2015,"История","победитель",5,"Московская олимпиада"
"ГБОУ школа № 2007 ФМШ",2018,3,2017,"Информатика и Информационно-коммуникационные технологии (ИКТ)","победитель",11,"Районная олимпиада"
"ГБОУ гимназия № 1513",2013,4,2012,"Иностранный язык (немецкий язык)","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 814",2016,3,2015,"Технология","призёр",5,"Московская олимпиада"
"НИУ ВШЭ. лицей",2018,4,2017,"Литература","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 57",2019,5,2018,"астрономия","победитель",9,"Всероссийская олимпиада"
"ГБОУ школа № 1409",2020,3,2019,"Основы безопасности жизнедеятельности","призёр",9,"Районная олимпиада"
"ГБОУ школа № 2089",2019,4,2018,"Обществознание","призёр",9,"Районная олимпиада"
"ГБОУ гимназия № 1517",2016,4,2015,"Химия","призёр",10,"Всероссийская олимпиада"
"ГБОУ гимназия Марьина Роща имени В.Ф. Орлова",2017,4,2016,"Математика","призёр",6,"Московская олимпиада"
"ГБОУ школа № 1794",2015,4,2014,"Изобразительное искусство","призёр",5,"Московская олимпиада"
"ГБОУ лицей № 1547",2015,5,2014,"Экономика","победитель",5,"Московская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013,3,2012,"предпринимательство","призёр",11,"Московская олимпиада"
"ГБОУ школа № 507",2018,3,2017,"Технология","призёр",11,"Районная олимпиада"
"ГБОУ «Лицей «Вторая школа»",2019,3,2018,"Физика","победитель",11,"Всероссийская олимпиада"
"ГБОУ школа № 648",2020,3,2019,"Литература","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 2077",2015,3,2014,"Биология","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1557",2018,5,2017,"Экономика","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 57",2016,5,2015,"Биология","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1448",2014,4,2013,"Обществознание","призёр",10,"Районная олимпиада"
"ГБОУ гимназия № 1576",2015,4,2014,"Литература","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1950",2017,3,2016,"Биология","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1247",2019,3,2018,"История","победитель",11,"Московская олимпиада"
"ГБОУ школа № 1329",2019,5,2018,"Физика","призёр",9,"Всероссийская олимпиада"
"ГБОУ «Курчатовская школа»",2018,3,2017,"Математика","победитель",6,"Московская олимпиада"
"МБШ «Вита»",2017,5,2016,"Биология","призёр",11,"Всероссийская олимпиада"
"ГБОУ школа № 687",2019,3,2018,"Право","призёр",8,"Всероссийская олимпиада"
"ГБОУ школа № 1387",2016,3,2015,"Обществознание","призёр",8,"Московская олимпиада"
"ГБОУ школа № 192",2017,3,2016,"Физика","призёр",10,"Московская олимпиада"
"ГБОУ школа № 1375",2017,3,2016,"История","призёр",10,"Районная олимпиада"
"ГБОУ лицей № 1303",2013,4,2012,"Химия","призёр",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1582",2016,4,2015,"Литература","призёр",10,"Районная олимпиада"
"ГБОУ школа № 641 имени С. Есенина",2015,3,2014,"Изобразительное искусство","призёр",11,"Московская олимпиада"
"ГБОУ школа № 1547",2019,5,2018,"Робототехника","призёр",6,"Московская олимпиада"
"ГБОУ школа № 1253",2016,4,2015,"Физическая культура","победитель",11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1530 «Школа Ломоносова»",2013,5,2012,"Иностранный язык (английский язык)","призёр",11,"Всероссийская олимпиада"
"ГБПОУ ОК «Юго-Запад»",2019,3,2018,"Технология","победитель",10,"Всероссийская олимпиада"
"ГБОУ школа № 1286",2018,5,2017,"Обществознание","призёр",10,"Всероссийская олимпиада"
"ГБОУ «Лицей «Вторая школа»",2019,4,2018,"Математика","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1231",2016,5,2015,"История","призёр",11,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей",2015,4,2014,"Право","призёр",10,"Всероссийская олимпиада"
"ГБОУ школа № 1543",2019,3,2018,"филология","призёр",6,"Московская олимпиада"
"ГБОУ СОШ № 1188",2014,5,2013,"Изобразительное искусство","призёр",7,"Московская олимпиада"
"ГБОУ школа в Капотне",2019,5,2018,"Химия","призёр",8,"Московская олимпиада"
"ГБОУ школа № 1580",2020,5,2019,"Иностранный язык (китайский язык)","призёр",9,"Всероссийская олимпиада"
"ГАОУ гимназия № 1306",2017,4,2016,"Русский язык","призёр",9,"Всероссийская олимпиада"
"ГБОУ школа № 1404 «Гамма»",2019,4,2018,"Технология","призёр",9,"Всероссийская олимпиада"
