"Year_end","Class","TeamSize","ShortName","Year_begin","Status","OlympiadType","Subject"
2019,6,5,"ГБОУ школа № 641 имени С. Есенина",2018,"призёр","Московская олимпиада","Робототехника"
2018,9,4,"ГБОУ школа № 402 имени Алии Молдагуловой",2017,"призёр","Всероссийская олимпиада","Литература"
2019,9,3,"ГБОУ школа № 179",2018,"призёр","Московская олимпиада","Математика"
2016,11,5,"ГБОУ школа № 1259 с углубленным изучением иностранных языков",2015,"призёр","Всероссийская олимпиада","Биология"
2015,9,3,"ГБОУ гимназия № 1519",2014,"призёр","Всероссийская олимпиада","Физика"
2015,6,5,"ГБОУ школа № 853",2014,"призёр","Московская олимпиада","Математика"
2020,11,5,"ГБОУ школа № 953",2019,"победитель","Всероссийская олимпиада","Право"
2016,10,5,"ГАОУ ВО МИОО. СОШ № 179",2015,"победитель","Всероссийская олимпиада","Математика"
2016,7,5,"ГБОУ школа № 1252 имени Сервантеса",2015,"призёр","Московская олимпиада","филология"
2019,11,5,"ГБОУ школа № 1980",2018,"призёр","Районная олимпиада","Основы безопасности жизнедеятельности"
2015,9,3,"ГБОУ Московская гимназия на Юго-Западе № 1543",2014,"призёр","Всероссийская олимпиада","Биология"
2017,11,4,"НИУ ВШЭ. лицей",2016,"призёр","Московская олимпиада","Обществознание"
2016,11,5,"ГБОУ гимназия № 1514",2015,"призёр","Районная олимпиада","Математика"
2015,10,4,"ГБОУ школа № 1195",2014,"призёр","Всероссийская олимпиада","Русский язык"
2020,10,4,"АНО СОШ «Димитриевская»",2019,"призёр","Всероссийская олимпиада","Литература"
2016,6,3,"ГБОУ школа № 853",2015,"призёр","Московская олимпиада","Математика"
2019,11,3,"ГБОУ школа № 814",2018,"призёр","Всероссийская олимпиада","География"
2020,9,3,"ГБОУ школа № 814",2019,"призёр","Районная олимпиада","Мировая Художественная Культура (МХК)"
2014,9,5,"ГБОУ ЦО № 218",2013,"призёр","Московская олимпиада","Химия"
2013,8,3,"ГБОУ гимназия № 1583",2012,"призёр","Московская олимпиада","Химия"
2017,10,4,"ГБОУ школа № 1329",2016,"призёр","Всероссийская олимпиада","Право"
2015,9,3,"ГБОУ школа № 2009",2014,"призёр","Всероссийская олимпиада","Основы безопасности жизнедеятельности"
2019,9,3,"ГБОУ школа № 1501",2018,"призёр","Всероссийская олимпиада","Физика"
2018,5,5,"ГБОУ школа № 705",2017,"призёр","Московская олимпиада","Технология"
2017,11,3,"ГБОУ школа № 1374",2016,"призёр","Всероссийская олимпиада","Русский язык"
2016,11,5,"ГБОУ школа № 2001",2015,"призёр","Московская олимпиада","филология"
2018,11,5,"ГБОУ школа № 1507",2017,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2016,10,3,"ГБОУ школа № 1329",2015,"призёр","Всероссийская олимпиада","Физика"
2015,10,4,"ГАОУ ВО МИОО. СОШ № 179",2014,"призёр","Всероссийская олимпиада","Математика"
2014,7,5,"ГБОУ Государственная столичная гимназия",2013,"призёр","Московская олимпиада","Физика"
2020,11,5,"МАОУ «Гимназия г. Троицка»",2019,"призёр","Всероссийская олимпиада","География"
2013,10,4,"ГБОУ ЦО № 218",2012,"призёр","Районная олимпиада","Мировая Художественная Культура (МХК)"
2019,10,3,"ГБОУ школа № 1980",2018,"призёр","Московская олимпиада","Химия"
2018,10,5,"ГБОУ школа № 57",2017,"победитель","Московская олимпиада","Математика"
2018,10,4,"ГБОУ школа № 1533 «ЛИТ»",2017,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2014,11,4,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013,"призёр","Районная олимпиада","Биология"
2020,10,4,"лицей НИУ ВШЭ",2019,"призёр","Всероссийская олимпиада","Мировая Художественная Культура (МХК)"
2017,8,3,"ГБОУ школа № 1245",2016,"призёр","Московская олимпиада","Обществознание"
2017,5,4,"ГБОУ школа № 1363",2016,"призёр","Московская олимпиада","Изобразительное искусство"
2019,11,4,"ГБОУ школа № 2086",2018,"победитель","Всероссийская олимпиада","Иностранный язык (английский язык)"
2017,11,5,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2016,"призёр","Всероссийская олимпиада","Физика"
2015,11,5,"ГБОУ гимназия № 1567",2014,"победитель","Всероссийская олимпиада","Русский язык"
2018,10,3,"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ",2017,"призёр","Всероссийская олимпиада","Русский язык"
2017,10,4,"ГБОУ Физматшкола № 2007",2016,"призёр","Московская олимпиада","Информатика"
2017,11,5,"ГБОУ школа № 1383",2016,"призёр","Московская олимпиада","Химия"
2019,11,5,"ГБОУ школа № 2007 ФМШ",2018,"победитель","Всероссийская олимпиада","астрономия"
2016,11,3,"ГБОУ лицей «Вторая школа»",2015,"победитель","Всероссийская олимпиада","Математика"
2019,11,5,"СУНЦ МГУ",2018,"призёр","Районная олимпиада","Биология"
2018,9,5,"ГБОУ школа № 1329",2017,"призёр","Всероссийская олимпиада","Физика"
2019,11,4,"ГБОУ Инженерно-техническая школа",2018,"призёр","Всероссийская олимпиада","Русский язык"
2015,9,5,"ГБОУ Физматшкола 2007",2014,"призёр","Московская олимпиада","Математика"
2019,8,3,"ГБОУ школа № 179",2018,"призёр","Всероссийская олимпиада","Информатика"
2016,9,3,"ГКОУ КШИ № 1",2015,"призёр","Всероссийская олимпиада","Физическая культура"
2014,9,3,"ГБОУ гимназия № 1583",2013,"призёр","Московская олимпиада","филология"
2016,10,5,"ГБОУ гимназия № 1514",2015,"призёр","Всероссийская олимпиада","Обществознание"
2019,11,3,"ГБОУ школа № 2114",2018,"призёр","Районная олимпиада","Физическая культура"
2014,11,3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2013,"призёр","Московская олимпиада","Физика"
2019,5,5,"ГБОУ школа № 1583",2018,"победитель","Московская олимпиада","Изобразительное искусство"
2018,11,4,"ГБОУ школа № 1558 имени Росалии де Кастро",2017,"победитель","Московская олимпиада","История"
2015,9,4,"ГАОУ ВО МИОО. СОШ № 179",2014,"призёр","Всероссийская олимпиада","астрономия"
2016,6,3,"ГБОУ «Школа-интернат «Интеллектуал»",2015,"призёр","Московская олимпиада","Математика"
2013,11,5,"ГБОУ гимназия № 1567",2012,"призёр","Всероссийская олимпиада","Биология"
2016,11,3,"ГБОУ гимназия № 1558",2015,"призёр","Всероссийская олимпиада","Иностранный язык (испанский язык)"
2016,11,5,"НИУ ВШЭ. лицей",2015,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2013,11,4,"ГБОУ гимназия № 1748 «Вертикаль»",2012,"призёр","Всероссийская олимпиада","Обществознание"
2017,6,5,"ГБОУ школа № 1955",2016,"призёр","Московская олимпиада","Изобразительное искусство"
2019,10,5,"ГБОУ школа имени Маршала В.И. Чуйкова",2018,"призёр","Всероссийская олимпиада","Химия"
2017,11,3,"ГБОУ лицей № 1564",2016,"призёр","Всероссийская олимпиада","Биология"
2020,11,5,"ГБОУ школа № 1317",2019,"призёр","Всероссийская олимпиада","Иностранный язык (английский язык)"
2018,6,4,"ГБОУ школа № 1000",2017,"победитель","Московская олимпиада","Технология"
2018,9,4,"ГБОУ лицей «Вторая школа»",2017,"призёр","Всероссийская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)"
2020,10,3,"ГБОУ школа № 1251 имени генерала Шарля де Голля",2019,"призёр","Всероссийская олимпиада","Иностранный язык (французский язык)"
2015,9,5,"ГБОУ СОШ № 814",2014,"победитель","Московская олимпиада","Изобразительное искусство"
2014,10,5,"ГБОУ ЦО № 218",2013,"призёр","Всероссийская олимпиада","Литература"
2014,10,4,"ГБОУ гимназия № 1573",2013,"призёр","Районная олимпиада","Русский язык"
2018,9,4,"ФГКОУ «МСВУ МО РФ»",2017,"призёр","Районная олимпиада","Основы безопасности жизнедеятельности"
2016,10,3,"ГБОУ школа № 2095",2015,"призёр","Всероссийская олимпиада","Право"
2019,9,4,"ГБОУ школа № 1329",2018,"призёр","Районная олимпиада","Физика"
2016,11,5,"ГБОУ школа № 1324",2015,"призёр","Всероссийская олимпиада","Литература"
2018,9,3,"ГБОУ школа № 1550",2017,"призёр","Районная олимпиада","Иностранный язык (английский язык)"
2020,9,3,"ГБОУ школа № 152",2019,"призёр","Районная олимпиада","Литература"
2017,9,5,"ГБОУ ММГ",2016,"призёр","Районная олимпиада","Право"
2018,11,5,"ГБПОУ «1-й МОК»",2017,"призёр","Московская олимпиада","Изобразительное искусство"
2017,10,3,"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ",2016,"призёр","Всероссийская олимпиада","Химия"
2018,9,3,"ГБОУ школа № 218",2017,"призёр","Всероссийская олимпиада","Информатика и Информационно-коммуникационные технологии (ИКТ)"
2020,9,3,"ГБОУ школа № 1591",2019,"призёр","Всероссийская олимпиада","Технология"
2019,9,3,"ГБОУ школа № 1517",2018,"победитель","Московская олимпиада","Иностранный язык (французский язык)"
2015,9,5,"ГБОУ СОШ № 2097",2014,"призёр","Всероссийская олимпиада","Русский язык"
2018,7,5,"ГБОУ школа № 2007 ФМШ",2017,"призёр","Московская олимпиада","Математика"
2020,10,5,"ГБОУ школа № 1535",2019,"призёр","Всероссийская олимпиада","История"
