"ShortName","Status","Year_begin","Year_end","Subject","TeamSize","Class","OlympiadType"
"ГБОУ школа № 171","призёр",2012,2013,"Биология",3,9,"Всероссийская олимпиада"
"СУНЦ МГУ","победитель",2018,2019,"астрономия",3,11,"Всероссийская олимпиада"
"ГБОУ Инженерно-техническая школа","призёр",2017,2018,"филология",3,8,"Московская олимпиада"
"ГБОУ Многопрофильная школа № 1577","призёр",2019,2020,"Мировая Художественная Культура (МХК)",4,11,"Всероссийская олимпиада"
"ГБОУ школа № 1741","призёр",2012,2013,"Русский язык",3,11,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей","призёр",2014,2015,"Обществознание",5,11,"Районная олимпиада"
"ГБОУ школа № 1944","призёр",2019,2020,"Обществознание",4,11,"Всероссийская олимпиада"
"ГБОУ школа № 1234","победитель",2016,2017,"Право",3,10,"Всероссийская олимпиада"
"ГБОУ школа № 1359","призёр",2019,2020,"Русский язык",3,11,"Всероссийская олимпиада"
"ГБОУ гимназия № 1558 имени Росалии де Кастро","призёр",2016,2017,"Иностранный язык (испанский язык)",3,10,"Всероссийская олимпиада"
"ГБОУ лицей № 1535","призёр",2014,2015,"Экономика",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 171","призёр",2019,2020,"Биология",3,10,"Районная олимпиада"
"ГБОУ гимназия № 1514","призёр",2014,2015,"Математика",4,8,"Московская олимпиада"
"ГБОУ СОШ № 1302","призёр",2014,2015,"Изобразительное искусство",4,11,"Московская олимпиада"
"ГБОУ «Лицей «Вторая школа»","призёр",2019,2020,"Физика",3,9,"Всероссийская олимпиада"
"лицей НИУ ВШЭ","призёр",2019,2020,"Биология",5,10,"Всероссийская олимпиада"
"ГБОУ школа «Покровский квартал»","призёр",2018,2019,"Литература",4,10,"Всероссийская олимпиада"
"ГБОУ лицей № 429 «Соколиная гора»","призёр",2016,2017,"Русский язык",4,10,"Всероссийская олимпиада"
"ГБОУ лицей № 1580","призёр",2012,2013,"Физика",4,10,"Московская олимпиада"
"ФГКОУ «Кадетский корпус Следственного комитета Российской Федерации имени Александра Невского» или «Кадетский корпус Следственного комитета»","победитель",2018,2019,"Основы безопасности жизнедеятельности",4,11,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","призёр",2012,2013,"Математика",5,10,"Районная олимпиада"
"ГБОУ лицей № 1547","победитель",2016,2017,"История",3,5,"Московская олимпиада"
"ГБОУ лицей № 1535","призёр",2016,2017,"Обществознание",5,11,"Районная олимпиада"
"ГБОУ школа № 444","призёр",2017,2018,"Физика",5,9,"Всероссийская олимпиада"
"ГБОУ школа № 2054","призёр",2016,2017,"Право",4,10,"Всероссийская олимпиада"
"ГБОУ лицей № 1535","призёр",2015,2016,"Физика",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 827","призёр",2013,2014,"Изобразительное искусство",4,11,"Московская олимпиада"
"ГБОУ школа № 709","призёр",2015,2016,"Основы безопасности жизнедеятельности",3,9,"Всероссийская олимпиада"
"ГБОУ СОШ № 1285","призёр",2012,2013,"Обществознание",4,10,"Всероссийская олимпиада"
"ФГБОУ ВО МГЛУ","призёр",2015,2016,"Иностранный язык (английский язык)",4,11,"Районная олимпиада"
"ГБОУ школа № 1252","призёр",2018,2019,"Литература",4,9,"Всероссийская олимпиада"
"ГБОУ школа № 1241","призёр",2016,2017,"Биология",3,8,"Московская олимпиада"
"ГБОУ школа № 1329","призёр",2016,2017,"Математика",3,6,"Московская олимпиада"
"ГБОУ гимназия № 1748 «Вертикаль»","призёр",2014,2015,"Основы безопасности жизнедеятельности",4,9,"Всероссийская олимпиада"
"МАОУ «Гимназия г. Троицка»","призёр",2018,2019,"Иностранный язык (английский язык)",5,11,"Районная олимпиада"
"ГБОУ СОШ № 1441 «Бронная слобода»","призёр",2012,2013,"Изобразительное искусство",3,9,"Московская олимпиада"
"ГБОУ школа «Интеллектуал»","победитель",2016,2017,"Мировая Художественная Культура (МХК)",3,9,"Всероссийская олимпиада"
"ГБОУ СОШ № 7","победитель",2014,2015,"астрономия",3,11,"Московская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","призёр",2012,2013,"Математика",3,10,"Московская олимпиада"
"ГАОУ ЦО № 548","победитель",2016,2017,"География",5,9,"Московская олимпиада"
"ФГБОУ ВО МГЛУ","победитель",2016,2017,"Иностранный язык (английский язык)",5,10,"Всероссийская олимпиада"
"ГБОУ Многопрофильная школа № 1577","призёр",2018,2019,"Мировая Художественная Культура (МХК)",5,8,"Всероссийская олимпиада"
"ГБОУ школа № 480","призёр",2016,2017,"Обществознание",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 14","победитель",2019,2020,"Экология",4,9,"Всероссийская олимпиада"
"ФГКОУ «МКК ПВ МО РФ»","призёр",2015,2016,"Литература",5,10,"Всероссийская олимпиада"
"ГАОУ школа № 1306 - «Школа молодых политиков»","призёр",2017,2018,"филология",3,9,"Московская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","призёр",2014,2015,"Информатика",4,11,"Всероссийская олимпиада"
"ГАОУ ВПО МИОО. СОШ № 169","призёр",2012,2013,"Русский язык",4,9,"Всероссийская олимпиада"
"НИУ ВШЭ. лицей","призёр",2015,2016,"Обществознание",3,11,"Всероссийская олимпиада"
"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ","призёр",2017,2018,"Химия",5,10,"Всероссийская олимпиада"
"ГБОУ гимназия № 1529","призёр",2017,2018,"Иностранный язык (английский язык)",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1501","призёр",2017,2018,"География",4,11,"Районная олимпиада"
"ГБОУ школа № 648","призёр",2018,2019,"филология",4,11,"Московская олимпиада"
"ГБОУ «Московская международная школа»","победитель",2019,2020,"Литература",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 2070","призёр",2019,2020,"Русский язык",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 2033","призёр",2018,2019,"История",3,9,"Всероссийская олимпиада"
"ГБОУ школа № 118","призёр",2014,2015,"Иностранный язык (немецкий язык)",3,11,"Районная олимпиада"
"ГАОУ «Гимназия № 1518»","призёр",2015,2016,"Биология",4,11,"Всероссийская олимпиада"
"ГБОУ школа № 2097","призёр",2019,2020,"Русский язык",5,10,"Всероссийская олимпиада"
"ГБОУ школа № 1018","призёр",2015,2016,"Математика",4,6,"Московская олимпиада"
"ГБОУ школа № 109","призёр",2015,2016,"Биология",3,9,"Всероссийская олимпиада"
"Московский государственный университет имени М.В. Ломоносова, МГУ имени М.В. Ломоносова, Московский университет или МГУ. Университетская гимназия МГУ","призёр",2017,2018,"Искусство (МХК)",3,11,"Всероссийская олимпиада"
"ГБОУ школа № 14","призёр",2017,2018,"Основы безопасности жизнедеятельности",5,11,"Районная олимпиада"
"ГБОУ школа № 192","призёр",2015,2016,"Физика",5,9,"Всероссийская олимпиада"
"ГБОУ лицей № 1547","призёр",2015,2016,"Физика",3,9,"Всероссийская олимпиада"
"ГБОУ школа № 1208","призёр",2017,2018,"лингвистика",4,8,"Московская олимпиада"
"Финансовый университет","победитель",2019,2020,"География",4,10,"Всероссийская олимпиада"
"ГАОУ ВО МИОО. СОШ № 179","призёр",2012,2013,"Информатика",4,10,"Всероссийская олимпиада"
"ГБОУ школа № 57","призёр",2017,2018,"Информатика и Информационно-коммуникационные технологии (ИКТ)",5,9,"Всероссийская олимпиада"
"ГБОУ СОШ № 1471","призёр",2014,2015,"Физическая культура",5,11,"Всероссийская олимпиада"
"ГБОУ школа № 1564","призёр",2017,2018,"Литература",5,9,"Всероссийская олимпиада"
"лицей НИУ ВШЭ","призёр",2018,2019,"филология",5,11,"Московская олимпиада"
"ГБОУ гимназия № 1567","призёр",2013,2014,"Иностранный язык (французский язык)",4,10,"Районная олимпиада"
"ГБОУ школа № 1543","призёр",2019,2020,"Биология",4,11,"Всероссийская олимпиада"
"ФГБОУ ВПО «МГУ им. М.В. Ломоносова» . СУНЦ МГУ","призёр",2016,2017,"Химия",5,11,"Всероссийская олимпиада"
"ГАОУ «Школа № 1518»","призёр",2019,2020,"Химия",3,9,"Районная олимпиада"
"ГБОУ школа № 179","призёр",2019,2020,"Информатика",3,9,"Всероссийская олимпиада"
