"Class","ShortName","Subject","Status","Year_begin","Year_end","OlympiadType","TeamSize"
11,"ГБОУ «Лицей «Вторая школа»","Физика","призёр",2018,2019,"Московская олимпиада",4
9,"ГБОУ школа № 57","Физика","призёр",2018,2019,"Московская олимпиада",4
8,"ГБОУ школа № 2007 ФМШ","Робототехника","призёр",2018,2019,"Московская олимпиада",3
7,"ГБОУ школа № 1252","филология","призёр",2017,2018,"Московская олимпиада",5
10,"ГБОУ школа № 57","Русский язык","призёр",2018,2019,"Всероссийская олимпиада",3
9,"ГБОУ школа № 1466 имени Надежды Рушевой","Обществознание","призёр",2016,2017,"Всероссийская олимпиада",3
6,"ГБОУ школа № 2007 ФМШ","Робототехника","призёр",2018,2019,"Московская олимпиада",4
11,"ГБОУ школа № 853","Обществознание","призёр",2016,2017,"Всероссийская олимпиада",3
10,"ГБОУ лицей № 1535","Биология","призёр",2016,2017,"Всероссийская олимпиада",4
9,"ГБОУ школа № 402 имени Алии Молдагуловой","Искусство (МХК)","призёр",2017,2018,"Районная олимпиада",3
8,"ГБОУ школа № 1473","Изобразительное искусство","победитель",2012,2013,"Московская олимпиада",4
8,"Некоммерческое партнерство «Филипповская школа»","лингвистика","призёр",2016,2017,"Московская олимпиада",4
11,"МГУПС (МИИТ)","Литература","призёр",2014,2015,"Всероссийская олимпиада",4
11,"ГБОУ СОШ № 1208","Иностранный язык (английский язык)","призёр",2012,2013,"Всероссийская олимпиада",4
6,"ГБОУ школа № 1748","Технология","призёр",2017,2018,"Московская олимпиада",3
9,"ГБОУ школа № 1793","Иностранный язык (английский язык)","призёр",2017,2018,"Всероссийская олимпиада",3
5,"ГБОУ школа № 1557","Изобразительное искусство","призёр",2017,2018,"Московская олимпиада",3
7,"ГБОУ гимназия № 1591","Технология","призёр",2015,2016,"Московская олимпиада",3
10,"ГБОУ лицей № 1580","Физика","призёр",2014,2015,"Всероссийская олимпиада",5
11,"ГБОУ гимназия № 1554","Право","призёр",2014,2015,"Всероссийская олимпиада",4
6,"ГБОУ школа № 1194","Технология","призёр",2017,2018,"Московская олимпиада",3
11,"ГБОУ гимназия № 1514","Литература","призёр",2014,2015,"Всероссийская олимпиада",5
7,"«Свято-Владимирская школа»","Изобразительное искусство","победитель",2013,2014,"Московская олимпиада",5
11,"ГБОУ гимназия № 1522","Обществознание","призёр",2014,2015,"Районная олимпиада",5
10,"ГАОУ ВО МИОО. СОШ № 179","Информатика","победитель",2016,2017,"Всероссийская олимпиада",3
9,"ГБОУ школа № 1573","филология","призёр",2017,2018,"Московская олимпиада",3
11,"ГБОУ школа № 1416","Иностранный язык (английский язык)","призёр",2017,2018,"Районная олимпиада",3
10,"ГБОУ школа № 853","Физика","призёр",2012,2013,"Московская олимпиада",4
11,"ГБОУ школа № 1535","Русский язык","призёр",2017,2018,"Всероссийская олимпиада",4
10,"ГБОУ школа № 1329","Физика","призёр",2015,2016,"Всероссийская олимпиада",3
10,"ГБОУ школа «Интеллектуал»","Биология","призёр",2016,2017,"Районная олимпиада",4
9,"ГАОУ ВО МИОО. СОШ № 179","Математика","призёр",2015,2016,"Московская олимпиада",5
8,"ГБОУ школа № 57","Математика","призёр",2015,2016,"Московская олимпиада",4
10,"Предуниверситарий НИЯУ МИФИ","Технология","призёр",2018,2019,"Районная олимпиада",5
11,"ГАОУ ВО МИОО. СОШ № 179","Информатика","призёр",2015,2016,"Московская олимпиада",3
11,"ГБОУ лицей № 1502 при МЭИ","астрономия","призёр",2013,2014,"Всероссийская олимпиада",3
10,"ГБОУ школа № 1329","Физика","призёр",2015,2016,"Всероссийская олимпиада",4
9,"ГБОУ школа № 1726","астрономия","призёр",2015,2016,"Всероссийская олимпиада",3
10,"ГБОУ школа № 1151","Технология","призёр",2012,2013,"Всероссийская олимпиада",5
9,"ГБОУ школа № 179","Физика","победитель",2018,2019,"Московская олимпиада",3
10,"ГБОУ СОШ № 1199 «Лига Школ»","Мировая Художественная Культура (МХК)","призёр",2013,2014,"Всероссийская олимпиада",4
11,"ГБОУ МКЛ № 1310","Литература","призёр",2015,2016,"Всероссийская олимпиада",5
7,"ГБОУ лицей № 1557","Математика","призёр",2015,2016,"Московская олимпиада",3
