"purpose","housing","duration","personal_status","credit_amount","age","existing_credits","credit_history","type"
"бытовая техника","домовладелец",18,"женщина",716,27,1,"есть просрочки платежей","ненадежный"
"мебель","домовладелец",43,"мужчина (одинокий)",4408,37,1,"все кредиты погашены","надежный"
"бытовая техника","домовладелец",18,"женщина",2656,29,1,"есть непогашенные кредиты","надежный"
"мебель","арендатор",9,"мужчина (одинокий)",1854,37,1,"есть просрочки платежей","надежный"
"бизнес","домовладелец",35,"мужчина (разведенный)",7179,51,2,"есть просрочки платежей","надежный"
"бизнес","домовладелец",15,"женщина",1295,36,1,"есть непогашенные кредиты","надежный"
"бытовая техника","домовладелец",81,"мужчина (одинокий)",13256,23,2,"есть непогашенные кредиты","ненадежный"
"новая машина","домовладелец",32,"мужчина (разведенный)",4868,49,2,"есть просрочки платежей","надежный"
"мебель","арендатор",56,"мужчина (одинокий)",11372,34,1,"есть непогашенные кредиты","ненадежный"
"бытовая техника","домовладелец",9,"мужчина (женатый или вдовец)",995,25,1,"есть непогашенные кредиты","надежный"
"новая машина","без жилья",26,"мужчина (одинокий)",6490,31,3,"есть просрочки платежей","надежный"
"новая машина","домовладелец",7,"женщина",1145,67,1,"есть непогашенные кредиты","надежный"
"ремонт жилья","домовладелец",15,"мужчина (разведенный)",2479,32,2,"есть просрочки платежей","надежный"
"новая машина","домовладелец",15,"мужчина (женатый или вдовец)",1373,30,2,"есть непогашенные кредиты","надежный"
"подержанная машина","домовладелец",22,"мужчина (одинокий)",2380,31,1,"есть просрочки платежей","надежный"
"мебель","домовладелец",17,"мужчина (одинокий)",4441,35,1,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",9,"мужчина (одинокий)",1761,34,2,"есть просрочки платежей","надежный"
"мебель","арендатор",37,"мужчина (одинокий)",3465,18,2,"есть просрочки платежей","надежный"
"бытовая техника","домовладелец",50,"мужчина (одинокий)",3388,28,1,"есть непогашенные кредиты","ненадежный"
"бизнес","домовладелец",4,"мужчина (одинокий)",4694,81,1,"есть непогашенные кредиты","надежный"
"новая машина","домовладелец",10,"мужчина (одинокий)",2504,59,1,"есть непогашенные кредиты","надежный"
"подержанная машина","домовладелец",20,"мужчина (одинокий)",3103,66,1,"есть непогашенные кредиты","надежный"
"бытовая техника","арендатор",34,"женщина",3568,25,1,"есть непогашенные кредиты","надежный"
"бытовая техника","арендатор",38,"женщина",5436,25,1,"есть непогашенные кредиты","надежный"
