"housing","existing_credits","duration","credit_amount","age","personal_status","purpose","credit_history","type"
"арендатор",1,13,1187,20,"мужчина (женатый или вдовец)","другое","есть непогашенные кредиты","ненадежный"
"домовладелец",4,19,7682,44,"мужчина (одинокий)","ремонт жилья","есть непогашенные кредиты","надежный"
"домовладелец",2,12,1285,33,"мужчина (одинокий)","ремонт жилья","есть непогашенные кредиты","надежный"
"домовладелец",2,58,4097,23,"мужчина (разведенный)","новая машина","есть просрочки платежей","ненадежный"
"домовладелец",2,18,3155,35,"мужчина (одинокий)","новая машина","есть просрочки платежей","ненадежный"
"домовладелец",1,20,1958,27,"женщина","новая машина","есть непогашенные кредиты","ненадежный"
"домовладелец",1,13,7272,24,"мужчина (одинокий)","подержанная машина","есть непогашенные кредиты","надежный"
"домовладелец",2,37,1219,40,"женщина","новая машина","есть просрочки платежей","надежный"
"домовладелец",1,10,3091,24,"женщина","мебель","есть непогашенные кредиты","ненадежный"
"домовладелец",2,8,1383,31,"мужчина (одинокий)","бытовая техника","есть просрочки платежей","надежный"
"домовладелец",1,9,1632,38,"мужчина (одинокий)","мебель","есть непогашенные кредиты","надежный"
"домовладелец",1,32,5705,48,"мужчина (разведенный)","мебель","есть непогашенные кредиты","ненадежный"
"домовладелец",1,8,1306,23,"мужчина (женатый или вдовец)","новая машина","есть непогашенные кредиты","ненадежный"
"домовладелец",1,19,1430,35,"мужчина (женатый или вдовец)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",1,19,2249,56,"женщина","образование","есть просрочки платежей","надежный"
"домовладелец",1,36,1969,53,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","надежный"
"домовладелец",2,22,4286,43,"мужчина (разведенный)","новая машина","есть просрочки платежей","надежный"
"домовладелец",2,24,2270,21,"женщина","бытовая техника","есть просрочки платежей","надежный"
"домовладелец",1,10,2253,30,"мужчина (одинокий)","бытовая техника","есть непогашенные кредиты","ненадежный"
"без жилья",2,34,1362,62,"мужчина (одинокий)","образование","есть просрочки платежей","надежный"
"домовладелец",1,12,2324,27,"мужчина (одинокий)","мебель","есть непогашенные кредиты","надежный"
"без жилья",1,12,1809,30,"мужчина (разведенный)","бытовая техника","все кредиты погашены","ненадежный"
"домовладелец",2,17,7190,49,"женщина","бытовая техника","есть непогашенные кредиты","ненадежный"
"домовладелец",2,20,3223,29,"мужчина (разведенный)","мебель","есть просрочки платежей","надежный"
"домовладелец",2,16,1766,33,"мужчина (одинокий)","другое","есть непогашенные кредиты","надежный"
"домовладелец",1,4,2954,28,"мужчина (одинокий)","мебель","есть непогашенные кредиты","надежный"
"арендатор",4,16,1108,22,"женщина","мебель","есть непогашенные кредиты","ненадежный"
"домовладелец",2,11,1734,31,"мужчина (одинокий)","бытовая техника","есть просрочки платежей","надежный"
"домовладелец",1,20,1293,61,"женщина","мебель","есть непогашенные кредиты","надежный"
"домовладелец",1,8,2677,40,"мужчина (одинокий)","мебель","есть непогашенные кредиты","ненадежный"
"арендатор",2,13,2719,19,"женщина","мебель","есть непогашенные кредиты","ненадежный"
"домовладелец",1,23,3981,29,"женщина","подержанная машина","есть непогашенные кредиты","надежный"
"домовладелец",2,10,2268,24,"мужчина (женатый или вдовец)","бизнес","есть просрочки платежей","надежный"
"домовладелец",1,14,5301,26,"женщина","подержанная машина","есть непогашенные кредиты","надежный"
"домовладелец",2,58,3125,37,"мужчина (одинокий)","подержанная машина","есть просрочки платежей","надежный"
"домовладелец",1,26,1926,32,"мужчина (одинокий)","мебель","есть непогашенные кредиты","надежный"
"домовладелец",1,20,2972,37,"мужчина (одинокий)","новая машина","есть непогашенные кредиты","надежный"
"домовладелец",2,48,3039,33,"мужчина (одинокий)","бытовая техника","есть просрочки платежей","надежный"
"арендатор",1,26,4942,19,"женщина","подержанная машина","все кредиты погашены","надежный"
"домовладелец",1,32,3492,42,"мужчина (одинокий)","мебель","есть непогашенные кредиты","надежный"
"домовладелец",3,11,914,27,"мужчина (женатый или вдовец)","новая машина","есть просрочки платежей","ненадежный"
"домовладелец",1,36,3555,29,"мужчина (одинокий)","бытовая техника","есть просрочки платежей","надежный"
"домовладелец",2,13,738,43,"женщина","новая машина","есть просрочки платежей","надежный"
"домовладелец",1,9,901,24,"мужчина (одинокий)","новая машина","все кредиты погашены","надежный"
