"age","housing","personal_status","credit_amount","credit_history","duration","purpose","type","existing_credits"
39,"без жилья","мужчина (одинокий)",1006,"есть просрочки платежей",8,"бытовая техника","надежный",2
40,"домовладелец","мужчина (разведенный)",1055,"есть непогашенные кредиты",12,"бытовая техника","надежный",1
42,"домовладелец","мужчина (одинокий)",3174,"есть непогашенные кредиты",10,"бытовая техника","надежный",1
30,"домовладелец","мужчина (одинокий)",2572,"есть просрочки платежей",9,"бытовая техника","надежный",2
29,"домовладелец","женщина",1838,"есть непогашенные кредиты",30,"новая машина","надежный",1
35,"домовладелец","женщина",1142,"есть непогашенные кредиты",18,"бытовая техника","ненадежный",1
22,"домовладелец","женщина",3998,"есть непогашенные кредиты",32,"мебель","надежный",1
71,"без жилья","мужчина (одинокий)",6143,"есть непогашенные кредиты",8,"новая машина","надежный",1
27,"домовладелец","мужчина (одинокий)",4200,"есть непогашенные кредиты",15,"новая машина","ненадежный",1
40,"домовладелец","женщина",1230,"есть непогашенные кредиты",11,"бытовая техника","надежный",2
33,"домовладелец","мужчина (женатый или вдовец)",2490,"есть непогашенные кредиты",17,"бытовая техника","надежный",1
25,"арендатор","женщина",386,"есть непогашенные кредиты",30,"бытовая техника","ненадежный",1
35,"домовладелец","мужчина (одинокий)",3321,"есть непогашенные кредиты",31,"бытовая техника","надежный",1
37,"домовладелец","мужчина (одинокий)",1771,"есть непогашенные кредиты",12,"бизнес","надежный",2
51,"домовладелец","мужчина (одинокий)",3029,"есть непогашенные кредиты",23,"мебель","надежный",2
26,"домовладелец","женщина",369,"есть непогашенные кредиты",6,"другое","надежный",1
48,"домовладелец","мужчина (одинокий)",1931,"есть просрочки платежей",4,"бытовая техника","надежный",3
23,"домовладелец","мужчина (одинокий)",3399,"есть просрочки платежей",9,"бизнес","надежный",1
48,"без жилья","мужчина (одинокий)",1539,"есть непогашенные кредиты",15,"подержанная машина","надежный",1
27,"домовладелец","женщина",883,"все кредиты погашены",5,"новая машина","ненадежный",1
29,"домовладелец","мужчина (одинокий)",3243,"есть непогашенные кредиты",26,"бизнес","надежный",1
28,"домовладелец","мужчина (одинокий)",2616,"есть непогашенные кредиты",15,"мебель","ненадежный",1
29,"домовладелец","женщина",3511,"есть непогашенные кредиты",6,"новая машина","надежный",1
44,"домовладелец","мужчина (одинокий)",1972,"все кредиты погашены",21,"бытовая техника","надежный",1
24,"домовладелец","мужчина (одинокий)",1487,"есть просрочки платежей",15,"бизнес","надежный",2
53,"без жилья","мужчина (одинокий)",11660,"есть просрочки платежей",73,"новая машина","надежный",1
39,"домовладелец","мужчина (женатый или вдовец)",2040,"есть непогашенные кредиты",17,"бытовая техника","надежный",1
39,"без жилья","мужчина (одинокий)",2039,"все кредиты погашены",28,"бытовая техника","надежный",1
52,"без жилья","мужчина (одинокий)",3299,"есть непогашенные кредиты",13,"новая машина","надежный",1
33,"арендатор","женщина",1182,"есть просрочки платежей",6,"образование","надежный",2
59,"без жилья","женщина",1081,"есть просрочки платежей",27,"ремонт жилья","ненадежный",3
32,"арендатор","мужчина (одинокий)",2538,"есть просрочки платежей",13,"мебель","надежный",1
49,"домовладелец","женщина",827,"есть просрочки платежей",14,"новая машина","надежный",2
25,"домовладелец","мужчина (женатый или вдовец)",765,"есть непогашенные кредиты",4,"новая машина","надежный",1
62,"домовладелец","женщина",976,"есть непогашенные кредиты",13,"бытовая техника","надежный",1
24,"арендатор","мужчина (одинокий)",4597,"не было кредитов",23,"мебель","ненадежный",2
23,"домовладелец","мужчина (женатый или вдовец)",753,"есть непогашенные кредиты",7,"бытовая техника","надежный",1
38,"домовладелец","мужчина (одинокий)",2870,"есть непогашенные кредиты",11,"новая машина","ненадежный",1
57,"домовладелец","женщина",375,"есть просрочки платежей",17,"бытовая техника","надежный",4
29,"домовладелец","женщина",1259,"есть просрочки платежей",9,"бытовая техника","надежный",2
33,"домовладелец","мужчина (одинокий)",3334,"есть непогашенные кредиты",32,"подержанная машина","надежный",1
24,"домовладелец","женщина",1924,"есть просрочки платежей",17,"мебель","надежный",1
31,"домовладелец","мужчина (одинокий)",11418,"есть просрочки платежей",34,"другое","ненадежный",2
37,"домовладелец","мужчина (одинокий)",2935,"все кредиты погашены",21,"мебель","надежный",1
23,"домовладелец","мужчина (женатый или вдовец)",863,"есть непогашенные кредиты",11,"бытовая техника","надежный",1
36,"домовладелец","мужчина (одинокий)",1557,"есть просрочки платежей",13,"подержанная машина","надежный",2
34,"домовладелец","женщина",1461,"есть непогашенные кредиты",22,"бизнес","надежный",1
31,"домовладелец","женщина",15816,"есть непогашенные кредиты",76,"новая машина","надежный",1
23,"арендатор","женщина",1239,"есть непогашенные кредиты",36,"новая машина","надежный",1
27,"домовладелец","мужчина (одинокий)",940,"есть непогашенные кредиты",14,"новая машина","ненадежный",1
28,"домовладелец","мужчина (одинокий)",5263,"есть непогашенные кредиты",20,"новая машина","надежный",1
50,"домовладелец","мужчина (одинокий)",4488,"есть просрочки платежей",58,"бытовая техника","надежный",1
24,"арендатор","женщина",6225,"есть непогашенные кредиты",81,"бизнес","ненадежный",1
30,"арендатор","женщина",2658,"не было кредитов",13,"новая машина","ненадежный",2
44,"арендатор","женщина",2254,"есть непогашенные кредиты",14,"мебель","надежный",1
22,"арендатор","мужчина (одинокий)",1701,"есть непогашенные кредиты",30,"бытовая техника","ненадежный",1
20,"арендатор","женщина",615,"все кредиты погашены",4,"образование","ненадежный",1
28,"домовладелец","мужчина (одинокий)",3671,"есть непогашенные кредиты",9,"подержанная машина","надежный",1
53,"арендатор","мужчина (одинокий)",1861,"есть просрочки платежей",14,"бизнес","надежный",1
31,"домовладелец","мужчина (одинокий)",3493,"есть непогашенные кредиты",49,"бытовая техника","ненадежный",2
57,"домовладелец","мужчина (одинокий)",2930,"есть просрочки платежей",23,"подержанная машина","надежный",2
49,"арендатор","мужчина (одинокий)",3541,"есть непогашенные кредиты",6,"бытовая техника","надежный",1
18,"домовладелец","мужчина (одинокий)",1816,"есть непогашенные кредиты",31,"новая машина","ненадежный",1
21,"домовладелец","мужчина (одинокий)",1288,"есть просрочки платежей",9,"бытовая техника","надежный",2
47,"без жилья","мужчина (одинокий)",6892,"есть непогашенные кредиты",86,"образование","ненадежный",1
29,"домовладелец","женщина",892,"есть непогашенные кредиты",16,"мебель","надежный",1
36,"без жилья","женщина",1544,"все кредиты погашены",6,"образование","ненадежный",1
22,"домовладелец","мужчина (одинокий)",4935,"есть непогашенные кредиты",57,"бытовая техника","надежный",1
31,"арендатор","мужчина (одинокий)",8213,"есть непогашенные кредиты",61,"бизнес","ненадежный",1
33,"домовладелец","мужчина (одинокий)",3956,"не было кредитов",19,"бизнес","надежный",1
29,"домовладелец","мужчина (одинокий)",11992,"есть непогашенные кредиты",36,"новая машина","ненадежный",1
29,"без жилья","мужчина (одинокий)",3575,"не было кредитов",45,"бизнес","ненадежный",1
25,"арендатор","мужчина (одинокий)",1596,"все кредиты погашены",15,"бытовая техника","ненадежный",1
52,"домовладелец","мужчина (одинокий)",760,"есть просрочки платежей",8,"новая машина","надежный",2
32,"домовладелец","мужчина (одинокий)",887,"есть просрочки платежей",14,"образование","надежный",2
41,"домовладелец","мужчина (одинокий)",2480,"есть просрочки платежей",14,"бытовая техника","надежный",3
24,"арендатор","женщина",9074,"есть непогашенные кредиты",16,"новая машина","надежный",1
21,"арендатор","мужчина (женатый или вдовец)",2115,"есть непогашенные кредиты",18,"бытовая техника","ненадежный",1
54,"домовладелец","мужчина (одинокий)",1976,"есть просрочки платежей",5,"новая машина","надежный",2
35,"домовладелец","мужчина (одинокий)",1575,"есть просрочки платежей",15,"новая машина","ненадежный",2
53,"домовладелец","женщина",2707,"есть непогашенные кредиты",11,"мебель","надежный",1
47,"домовладелец","мужчина (разведенный)",515,"есть непогашенные кредиты",11,"новая машина","надежный",1
25,"домовладелец","женщина",1626,"есть непогашенные кредиты",20,"бытовая техника","ненадежный",2
22,"домовладелец","мужчина (одинокий)",6606,"есть просрочки платежей",55,"подержанная машина","надежный",1
25,"домовладелец","мужчина (одинокий)",1284,"есть непогашенные кредиты",19,"бытовая техника","надежный",1
24,"домовладелец","женщина",2586,"есть непогашенные кредиты",19,"бытовая техника","ненадежный",1
35,"арендатор","мужчина (одинокий)",1729,"есть непогашенные кредиты",13,"новая машина","надежный",1
32,"домовладелец","мужчина (одинокий)",4017,"есть просрочки платежей",62,"мебель","надежный",2
23,"домовладелец","женщина",5242,"не было кредитов",44,"бизнес","надежный",2
37,"домовладелец","мужчина (одинокий)",5120,"есть непогашенные кредиты",29,"новая машина","ненадежный",1
39,"арендатор","мужчина (одинокий)",1391,"есть непогашенные кредиты",13,"новая машина","надежный",1
33,"домовладелец","мужчина (одинокий)",3984,"есть непогашенные кредиты",13,"бытовая техника","надежный",1
36,"без жилья","женщина",14272,"есть непогашенные кредиты",28,"подержанная машина","ненадежный",1
25,"без жилья","мужчина (одинокий)",4771,"есть непогашенные кредиты",18,"новая машина","надежный",1
23,"домовладелец","женщина",1413,"есть просрочки платежей",9,"ремонт жилья","надежный",2
40,"домовладелец","мужчина (одинокий)",3008,"есть просрочки платежей",14,"мебель","надежный",1
54,"домовладелец","женщина",1662,"есть непогашенные кредиты",5,"образование","надежный",2
36,"домовладелец","мужчина (одинокий)",689,"есть непогашенные кредиты",4,"новая машина","надежный",1
50,"без жилья","мужчина (одинокий)",5381,"есть непогашенные кредиты",41,"новая машина","ненадежный",1
31,"арендатор","женщина",5344,"есть просрочки платежей",20,"новая машина","ненадежный",3
46,"без жилья","женщина",3546,"есть непогашенные кредиты",48,"бытовая техника","ненадежный",1
61,"арендатор","мужчина (одинокий)",2247,"есть непогашенные кредиты",34,"бытовая техника","надежный",1
35,"домовладелец","мужчина (женатый или вдовец)",1388,"есть непогашенные кредиты",20,"мебель","ненадежный",1
25,"домовладелец","женщина",2225,"есть непогашенные кредиты",16,"мебель","ненадежный",1
29,"домовладелец","мужчина (одинокий)",5762,"есть непогашенные кредиты",27,"мебель","надежный",1
48,"арендатор","женщина",2040,"есть просрочки платежей",14,"бытовая техника","надежный",2
19,"арендатор","мужчина (одинокий)",3921,"есть просрочки платежей",33,"мебель","надежный",2
27,"домовладелец","мужчина (одинокий)",3931,"есть непогашенные кредиты",11,"мебель","надежный",2
42,"домовладелец","женщина",714,"есть просрочки платежей",6,"новая машина","надежный",2
35,"домовладелец","мужчина (одинокий)",3099,"есть просрочки платежей",20,"мебель","надежный",2
49,"без жилья","мужчина (одинокий)",7763,"есть непогашенные кредиты",37,"мебель","надежный",1
32,"арендатор","женщина",3284,"есть непогашенные кредиты",9,"подержанная машина","надежный",1
58,"домовладелец","мужчина (одинокий)",3233,"есть непогашенные кредиты",25,"подержанная машина","надежный",1
22,"домовладелец","мужчина (разведенный)",1352,"есть непогашенные кредиты",17,"бытовая техника","надежный",1
19,"арендатор","женщина",1612,"есть непогашенные кредиты",15,"мебель","надежный",1
39,"без жилья","мужчина (одинокий)",4740,"есть непогашенные кредиты",23,"новая машина","надежный",1
27,"домовладелец","женщина",5173,"все кредиты погашены",33,"другое","надежный",1
39,"домовладелец","мужчина (одинокий)",2208,"есть непогашенные кредиты",22,"бытовая техника","ненадежный",1
23,"домовладелец","мужчина (одинокий)",6086,"есть просрочки платежей",46,"образование","ненадежный",1
34,"домовладелец","мужчина (одинокий)",15111,"есть просрочки платежей",21,"подержанная машина","надежный",1
36,"домовладелец","мужчина (одинокий)",2340,"есть непогашенные кредиты",13,"бытовая техника","надежный",1
26,"без жилья","мужчина (одинокий)",2423,"есть непогашенные кредиты",53,"бытовая техника","ненадежный",1
23,"домовладелец","мужчина (одинокий)",7754,"есть непогашенные кредиты",25,"подержанная машина","ненадежный",1
63,"домовладелец","мужчина (одинокий)",815,"есть просрочки платежей",15,"новая машина","надежный",2
32,"домовладелец","мужчина (разведенный)",5288,"есть просрочки платежей",24,"мебель","надежный",2
22,"домовладелец","мужчина (женатый или вдовец)",3018,"есть непогашенные кредиты",22,"бытовая техника","ненадежный",1
30,"домовладелец","мужчина (женатый или вдовец)",1200,"есть непогашенные кредиты",8,"бизнес","надежный",1
28,"домовладелец","женщина",762,"есть непогашенные кредиты",12,"мебель","ненадежный",1
49,"домовладелец","мужчина (разведенный)",8986,"есть просрочки платежей",32,"бизнес","надежный",2
49,"домовладелец","мужчина (одинокий)",5976,"есть просрочки платежей",3,"новая машина","надежный",2
34,"домовладелец","мужчина (разведенный)",1530,"есть непогашенные кредиты",9,"мебель","надежный",1
26,"арендатор","мужчина (одинокий)",5900,"есть непогашенные кредиты",29,"новая машина","надежный",1
28,"домовладелец","женщина",1539,"есть просрочки платежей",17,"мебель","надежный",2
28,"домовладелец","женщина",3200,"есть непогашенные кредиты",20,"бытовая техника","надежный",1
48,"домовладелец","мужчина (разведенный)",3317,"есть просрочки платежей",15,"новая машина","надежный",2
43,"домовладелец","женщина",1376,"есть просрочки платежей",36,"бытовая техника","надежный",2
24,"арендатор","женщина",2256,"есть непогашенные кредиты",31,"подержанная машина","надежный",1
27,"домовладелец","женщина",7178,"есть непогашенные кредиты",66,"бытовая техника","ненадежный",1
33,"домовладелец","женщина",6526,"есть просрочки платежей",63,"мебель","ненадежный",1
18,"арендатор","женщина",342,"есть непогашенные кредиты",21,"образование","надежный",1
67,"домовладелец","мужчина (одинокий)",4572,"есть просрочки платежей",32,"бизнес","надежный",1
30,"домовладелец","мужчина (одинокий)",3701,"есть непогашенные кредиты",57,"новая машина","надежный",1
34,"без жилья","мужчина (одинокий)",2282,"есть непогашенные кредиты",24,"образование","ненадежный",1
50,"без жилья","мужчина (одинокий)",1114,"есть просрочки платежей",10,"новая машина","надежный",2
31,"домовладелец","мужчина (одинокий)",5914,"есть просрочки платежей",26,"другое","надежный",2
24,"домовладелец","женщина",3768,"есть непогашенные кредиты",25,"бытовая техника","надежный",1
38,"домовладелец","женщина",1830,"есть просрочки платежей",11,"бытовая техника","надежный",2
28,"домовладелец","мужчина (одинокий)",923,"есть непогашенные кредиты",16,"новая машина","ненадежный",1
39,"домовладелец","мужчина (одинокий)",1219,"есть просрочки платежей",3,"бытовая техника","надежный",2
23,"арендатор","женщина",5275,"есть непогашенные кредиты",16,"подержанная машина","надежный",1
25,"арендатор","мужчина (разведенный)",2164,"есть непогашенные кредиты",22,"бытовая техника","ненадежный",1
29,"домовладелец","женщина",663,"есть непогашенные кредиты",8,"бытовая техника","ненадежный",1
84,"домовладелец","мужчина (одинокий)",3585,"есть непогашенные кредиты",4,"бизнес","надежный",1
26,"домовладелец","женщина",2469,"есть непогашенные кредиты",24,"бизнес","надежный",1
28,"домовладелец","мужчина (одинокий)",3819,"есть просрочки платежей",15,"бытовая техника","надежный",1
42,"без жилья","мужчина (одинокий)",13270,"есть просрочки платежей",72,"новая машина","ненадежный",1
41,"домовладелец","мужчина (одинокий)",4099,"есть непогашенные кредиты",16,"новая машина","надежный",1
27,"домовладелец","женщина",2200,"есть непогашенные кредиты",14,"бытовая техника","надежный",1
24,"домовладелец","мужчина (одинокий)",17328,"есть непогашенные кредиты",8,"новая машина","ненадежный",1
44,"домовладелец","мужчина (одинокий)",3694,"есть просрочки платежей",20,"бытовая техника","надежный",2
30,"без жилья","женщина",1984,"все кредиты погашены",33,"образование","ненадежный",1
29,"домовладелец","женщина",3062,"есть непогашенные кредиты",59,"бытовая техника","надежный",1
27,"домовладелец","мужчина (одинокий)",3021,"есть просрочки платежей",5,"бытовая техника","надежный",2
29,"домовладелец","мужчина (одинокий)",8843,"есть просрочки платежей",48,"подержанная машина","надежный",2
20,"домовладелец","мужчина (одинокий)",1440,"есть непогашенные кредиты",33,"мебель","надежный",1
27,"домовладелец","мужчина (женатый или вдовец)",5682,"есть непогашенные кредиты",95,"бытовая техника","ненадежный",1
47,"домовладелец","мужчина (одинокий)",2548,"есть непогашенные кредиты",12,"бытовая техника","надежный",1
34,"домовладелец","мужчина (одинокий)",4676,"есть непогашенные кредиты",28,"бытовая техника","надежный",1
40,"домовладелец","мужчина (одинокий)",752,"есть непогашенные кредиты",11,"мебель","надежный",1
30,"домовладелец","мужчина (женатый или вдовец)",1728,"есть непогашенные кредиты",19,"новая машина","надежный",1
22,"домовладелец","мужчина (одинокий)",1792,"есть непогашенные кредиты",12,"мебель","надежный",1
40,"домовладелец","мужчина (одинокий)",764,"есть непогашенные кредиты",17,"другое","надежный",2
28,"домовладелец","мужчина (одинокий)",1105,"есть непогашенные кредиты",6,"бытовая техника","надежный",1
40,"домовладелец","мужчина (одинокий)",517,"есть непогашенные кредиты",9,"бытовая техника","надежный",1
35,"домовладелец","мужчина (одинокий)",6909,"есть просрочки платежей",15,"новая машина","надежный",2
54,"без жилья","женщина",2949,"есть просрочки платежей",13,"образование","надежный",3
24,"домовладелец","женщина",13234,"есть непогашенные кредиты",27,"мебель","ненадежный",2
20,"без жилья","мужчина (одинокий)",5297,"не было кредитов",69,"подержанная машина","ненадежный",2
47,"арендатор","мужчина (разведенный)",1101,"есть непогашенные кредиты",9,"новая машина","ненадежный",2
29,"домовладелец","мужчина (одинокий)",2634,"есть непогашенные кредиты",11,"новая машина","надежный",1
41,"домовладелец","мужчина (разведенный)",3356,"есть просрочки платежей",11,"новая машина","надежный",1
22,"домовладелец","женщина",1066,"есть непогашенные кредиты",14,"новая машина","ненадежный",1
42,"домовладелец","мужчина (одинокий)",6361,"есть просрочки платежей",49,"бизнес","надежный",2
31,"домовладелец","мужчина (одинокий)",7424,"есть просрочки платежей",20,"мебель","надежный",1
30,"домовладелец","мужчина (одинокий)",2036,"есть непогашенные кредиты",24,"бытовая техника","надежный",1
36,"домовладелец","мужчина (одинокий)",1221,"есть просрочки платежей",14,"новая машина","надежный",2
30,"арендатор","мужчина (одинокий)",16741,"не было кредитов",28,"бизнес","ненадежный",2
25,"домовладелец","женщина",3662,"есть непогашенные кредиты",16,"бытовая техника","надежный",1
37,"домовладелец","мужчина (разведенный)",1615,"есть просрочки платежей",32,"бизнес","надежный",2
54,"домовладелец","мужчина (одинокий)",1253,"есть просрочки платежей",9,"новая машина","надежный",2
28,"домовладелец","мужчина (женатый или вдовец)",1019,"есть непогашенные кредиты",10,"бытовая техника","надежный",1
36,"домовладелец","мужчина (одинокий)",3904,"есть просрочки платежей",28,"бытовая техника","надежный",2
34,"домовладелец","женщина",652,"есть просрочки платежей",5,"новая машина","надежный",2
25,"домовладелец","женщина",1738,"есть непогашенные кредиты",11,"бытовая техника","надежный",1
