"personal_status","duration","credit_history","purpose","type","existing_credits","credit_amount","housing","age"
"мужчина (одинокий)",57,"есть непогашенные кредиты","подержанная машина","надежный",1,4441,"без жилья",34
"мужчина (одинокий)",10,"есть непогашенные кредиты","мебель","ненадежный",1,1829,"арендатор",20
"женщина",17,"есть непогашенные кредиты","подержанная машина","ненадежный",2,13204,"арендатор",23
"женщина",11,"есть непогашенные кредиты","мебель","надежный",1,1992,"арендатор",18
"мужчина (одинокий)",15,"есть просрочки платежей","бизнес","надежный",1,1021,"арендатор",59
"женщина",33,"есть непогашенные кредиты","мебель","надежный",1,5388,"домовладелец",29
"мужчина (женатый или вдовец)",20,"есть непогашенные кредиты","бытовая техника","надежный",1,705,"домовладелец",23
"женщина",28,"не было кредитов","новая машина","ненадежный",2,1947,"домовладелец",29
"женщина",10,"есть непогашенные кредиты","новая машина","ненадежный",1,1066,"домовладелец",23
"мужчина (женатый или вдовец)",6,"не было кредитов","бытовая техника","надежный",1,384,"домовладелец",39
"мужчина (разведенный)",19,"есть непогашенные кредиты","мебель","ненадежный",1,4106,"домовладелец",42
"женщина",50,"не было кредитов","бизнес","надежный",2,3910,"домовладелец",26
"мужчина (одинокий)",64,"есть непогашенные кредиты","бытовая техника","надежный",1,10419,"домовладелец",43
"женщина",14,"есть непогашенные кредиты","мебель","надежный",1,1099,"арендатор",18
"мужчина (одинокий)",25,"все кредиты погашены","новая машина","ненадежный",1,7410,"домовладелец",29
"мужчина (одинокий)",36,"есть непогашенные кредиты","мебель","надежный",1,4120,"без жилья",29
"женщина",12,"есть непогашенные кредиты","образование","надежный",1,978,"арендатор",23
"мужчина (одинокий)",45,"есть непогашенные кредиты","новая машина","ненадежный",1,8791,"домовладелец",22
"мужчина (одинокий)",34,"есть непогашенные кредиты","бытовая техника","надежный",1,3220,"арендатор",24
"мужчина (одинокий)",16,"есть непогашенные кредиты","подержанная машина","надежный",1,2002,"домовладелец",64
"мужчина (одинокий)",9,"есть непогашенные кредиты","бизнес","надежный",1,1565,"домовладелец",35
"мужчина (разведенный)",7,"есть непогашенные кредиты","мебель","надежный",1,2259,"домовладелец",25
"мужчина (одинокий)",22,"не было кредитов","новая машина","ненадежный",2,1314,"арендатор",36
"мужчина (одинокий)",6,"есть просрочки платежей","бытовая техника","надежный",2,646,"без жилья",31
"женщина",14,"есть непогашенные кредиты","новая машина","надежный",1,2029,"домовладелец",26
"мужчина (одинокий)",99,"есть непогашенные кредиты","бизнес","ненадежный",1,10507,"арендатор",36
"мужчина (одинокий)",27,"есть непогашенные кредиты","бытовая техника","надежный",1,3831,"домовладелец",37
"мужчина (одинокий)",43,"есть просрочки платежей","мебель","надежный",2,7330,"домовладелец",22
"мужчина (одинокий)",9,"есть просрочки платежей","мебель","надежный",1,1552,"домовладелец",61
"мужчина (одинокий)",9,"есть непогашенные кредиты","новая машина","надежный",1,5673,"домовладелец",37
"женщина",20,"есть непогашенные кредиты","бытовая техника","надежный",1,2128,"арендатор",52
"мужчина (женатый или вдовец)",24,"есть непогашенные кредиты","бытовая техника","надежный",1,1417,"арендатор",36
"мужчина (одинокий)",23,"не было кредитов","бизнес","надежный",3,8788,"домовладелец",22
"мужчина (одинокий)",18,"есть просрочки платежей","бытовая техника","надежный",4,1234,"домовладелец",55
"мужчина (одинокий)",17,"есть просрочки платежей","новая машина","ненадежный",1,12887,"без жилья",28
"женщина",22,"есть непогашенные кредиты","новая машина","надежный",1,1662,"арендатор",25
"мужчина (одинокий)",38,"есть просрочки платежей","подержанная машина","надежный",2,9528,"без жилья",72
"мужчина (одинокий)",30,"не было кредитов","бизнес","ненадежный",2,4455,"домовладелец",32
"женщина",8,"есть непогашенные кредиты","бытовая техника","надежный",1,1869,"домовладелец",30
"женщина",26,"есть непогашенные кредиты","новая машина","ненадежный",1,3545,"арендатор",18
"мужчина (одинокий)",12,"есть непогашенные кредиты","бытовая техника","ненадежный",1,994,"домовладелец",37
"женщина",44,"есть непогашенные кредиты","мебель","ненадежный",1,10530,"домовладелец",29
"женщина",18,"есть непогашенные кредиты","бизнес","надежный",1,1142,"арендатор",26
"мужчина (одинокий)",20,"все кредиты погашены","бытовая техника","надежный",1,1587,"домовладелец",39
"мужчина (одинокий)",36,"есть просрочки платежей","бытовая техника","надежный",2,2593,"домовладелец",35
"мужчина (женатый или вдовец)",34,"есть непогашенные кредиты","бытовая техника","ненадежный",1,2431,"домовладелец",24
"мужчина (одинокий)",9,"есть непогашенные кредиты","подержанная машина","надежный",1,1714,"без жилья",52
"мужчина (женатый или вдовец)",108,"есть непогашенные кредиты","бытовая техника","ненадежный",1,5655,"домовладелец",24
"мужчина (одинокий)",16,"есть просрочки платежей","бытовая техника","надежный",2,657,"домовладелец",40
"мужчина (разведенный)",19,"есть непогашенные кредиты","новая машина","ненадежный",1,8722,"домовладелец",46
"женщина",16,"есть непогашенные кредиты","бытовая техника","надежный",1,1891,"домовладелец",18
"мужчина (одинокий)",7,"есть просрочки платежей","бытовая техника","надежный",2,323,"домовладелец",48
"женщина",30,"есть просрочки платежей","мебель","надежный",1,3603,"домовладелец",33
"женщина",6,"есть непогашенные кредиты","бытовая техника","надежный",1,490,"домовладелец",34
"мужчина (одинокий)",17,"есть непогашенные кредиты","новая машина","надежный",1,5081,"арендатор",24
"женщина",10,"есть просрочки платежей","новая машина","надежный",2,939,"домовладелец",33
"мужчина (одинокий)",30,"есть просрочки платежей","бытовая техника","надежный",2,2223,"домовладелец",30
"мужчина (одинокий)",18,"есть просрочки платежей","бытовая техника","надежный",1,732,"домовладелец",50
"мужчина (одинокий)",17,"есть непогашенные кредиты","бытовая техника","надежный",1,2685,"домовладелец",48
"мужчина (одинокий)",20,"есть непогашенные кредиты","ремонт жилья","надежный",1,1835,"домовладелец",18
"женщина",42,"есть непогашенные кредиты","бизнес","надежный",1,3344,"домовладелец",28
"мужчина (одинокий)",12,"есть непогашенные кредиты","мебель","ненадежный",1,3665,"домовладелец",36
"мужчина (женатый или вдовец)",30,"есть непогашенные кредиты","бытовая техника","надежный",1,1276,"домовладелец",29
"мужчина (женатый или вдовец)",26,"есть непогашенные кредиты","мебель","ненадежный",1,1838,"домовладелец",43
"мужчина (одинокий)",14,"есть непогашенные кредиты","бытовая техника","надежный",1,4214,"домовладелец",34
"женщина",19,"есть непогашенные кредиты","новая машина","надежный",1,2776,"домовладелец",34
"женщина",8,"есть непогашенные кредиты","другое","ненадежный",1,671,"домовладелец",18
"женщина",53,"есть непогашенные кредиты","новая машина","надежный",1,6965,"домовладелец",20
"женщина",39,"есть непогашенные кредиты","подержанная машина","надежный",1,3038,"арендатор",23
"мужчина (одинокий)",34,"есть просрочки платежей","новая машина","надежный",2,3237,"домовладелец",38
