"housing","credit_amount","duration","personal_status","age","credit_history","existing_credits","purpose","type"
"арендатор",341,13,"мужчина (женатый или вдовец)",19,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",1618,8,"женщина",23,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"домовладелец",4660,18,"мужчина (одинокий)",54,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",1516,25,"мужчина (одинокий)",31,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",1536,16,"женщина",28,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",1924,14,"женщина",28,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",2826,37,"мужчина (одинокий)",23,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"домовладелец",2218,11,"женщина",64,"есть просрочки платежей",1,"образование","надежный"
"домовладелец",1209,9,"мужчина (одинокий)",37,"есть просрочки платежей",1,"новая машина","надежный"
"без жилья",9993,70,"мужчина (одинокий)",53,"все кредиты погашены",1,"подержанная машина","надежный"
"домовладелец",793,18,"мужчина (одинокий)",58,"есть просрочки платежей",4,"бытовая техника","надежный"
"без жилья",8473,69,"мужчина (одинокий)",58,"не было кредитов",2,"мебель","ненадежный"
"домовладелец",906,10,"мужчина (одинокий)",35,"есть непогашенные кредиты",1,"новая машина","надежный"
"арендатор",1288,6,"мужчина (одинокий)",51,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",1889,15,"мужчина (одинокий)",42,"есть просрочки платежей",1,"бытовая техника","надежный"
"домовладелец",1633,37,"мужчина (одинокий)",22,"есть непогашенные кредиты",1,"бизнес","надежный"
"домовладелец",4484,27,"мужчина (одинокий)",35,"есть непогашенные кредиты",1,"бизнес","надежный"
"арендатор",16209,58,"мужчина (одинокий)",27,"не было кредитов",2,"бизнес","ненадежный"
"домовладелец",5974,18,"мужчина (одинокий)",38,"все кредиты погашены",2,"новая машина","ненадежный"
"без жилья",3673,50,"женщина",54,"есть непогашенные кредиты",1,"бытовая техника","ненадежный"
"домовладелец",1294,8,"женщина",42,"есть непогашенные кредиты",1,"другое","надежный"
"домовладелец",1134,17,"мужчина (разведенный)",31,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"домовладелец",4336,29,"мужчина (одинокий)",45,"есть просрочки платежей",1,"бытовая техника","надежный"
"домовладелец",10677,17,"мужчина (разведенный)",38,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"домовладелец",3514,18,"женщина",49,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",1918,9,"мужчина (женатый или вдовец)",24,"есть непогашенные кредиты",1,"бизнес","надежный"
"арендатор",1097,13,"женщина",28,"есть непогашенные кредиты",1,"мебель","ненадежный"
"домовладелец",4175,30,"мужчина (одинокий)",31,"все кредиты погашены",1,"бизнес","надежный"
"арендатор",4664,30,"женщина",21,"все кредиты погашены",1,"подержанная машина","надежный"
"без жилья",4693,25,"мужчина (одинокий)",31,"есть непогашенные кредиты",1,"новая машина","надежный"
"домовладелец",4520,18,"мужчина (одинокий)",28,"есть просрочки платежей",2,"бизнес","надежный"
"домовладелец",1583,21,"мужчина (одинокий)",47,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",1460,7,"мужчина (одинокий)",33,"есть непогашенные кредиты",1,"бизнес","надежный"
"без жилья",2539,13,"женщина",65,"есть просрочки платежей",3,"образование","надежный"
"домовладелец",3468,40,"мужчина (одинокий)",19,"все кредиты погашены",1,"мебель","надежный"
"без жилья",2882,33,"мужчина (одинокий)",27,"есть непогашенные кредиты",1,"подержанная машина","надежный"
"домовладелец",1734,25,"мужчина (одинокий)",42,"есть просрочки платежей",2,"бытовая техника","надежный"
"арендатор",1411,18,"женщина",18,"есть просрочки платежей",2,"мебель","надежный"
"арендатор",2061,29,"женщина",22,"есть непогашенные кредиты",1,"мебель","ненадежный"
"домовладелец",11934,47,"мужчина (одинокий)",20,"есть непогашенные кредиты",1,"новая машина","ненадежный"
"домовладелец",429,5,"мужчина (одинокий)",45,"есть просрочки платежей",2,"бытовая техника","надежный"
"арендатор",2545,13,"женщина",20,"есть непогашенные кредиты",1,"мебель","надежный"
"арендатор",2259,6,"женщина",28,"есть просрочки платежей",2,"мебель","надежный"
"домовладелец",3343,14,"женщина",22,"есть непогашенные кредиты",1,"мебель","ненадежный"
"без жилья",2058,29,"мужчина (одинокий)",31,"все кредиты погашены",1,"бытовая техника","надежный"
"домовладелец",6187,33,"мужчина (одинокий)",24,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",3259,28,"мужчина (одинокий)",33,"есть непогашенные кредиты",1,"мебель","надежный"
"без жилья",6318,28,"мужчина (одинокий)",45,"есть непогашенные кредиты",1,"подержанная машина","ненадежный"
"арендатор",5315,32,"женщина",24,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",2173,19,"женщина",31,"не было кредитов",2,"новая машина","ненадежный"
"домовладелец",1115,14,"мужчина (женатый или вдовец)",27,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",3285,15,"женщина",39,"есть непогашенные кредиты",1,"мебель","надежный"
"арендатор",2238,3,"мужчина (женатый или вдовец)",22,"есть непогашенные кредиты",1,"мебель","надежный"
"домовладелец",3130,4,"женщина",42,"есть просрочки платежей",1,"новая машина","надежный"
"арендатор",1021,4,"мужчина (одинокий)",48,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",4103,16,"мужчина (одинокий)",20,"есть непогашенные кредиты",2,"бытовая техника","надежный"
"домовладелец",1214,6,"мужчина (одинокий)",22,"есть просрочки платежей",2,"бытовая техника","надежный"
"домовладелец",1186,14,"мужчина (одинокий)",68,"есть непогашенные кредиты",1,"бытовая техника","надежный"
"арендатор",2028,13,"мужчина (женатый или вдовец)",31,"есть просрочки платежей",2,"новая машина","ненадежный"
"домовладелец",1567,10,"мужчина (разведенный)",71,"есть непогашенные кредиты",1,"другое","надежный"
"домовладелец",3858,21,"женщина",31,"есть непогашенные кредиты",1,"подержанная машина","надежный"
