"credit_amount","duration","housing","type","purpose","credit_history","existing_credits","personal_status","age"
700,7,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",36
8498,10,"арендатор","надежный","мебель","есть просрочки платежей",1,"мужчина (одинокий)",40
2131,27,"домовладелец","надежный","мебель","есть просрочки платежей",1,"женщина",23
7769,55,"домовладелец","надежный","бизнес","есть непогашенные кредиты",2,"мужчина (одинокий)",34
1303,3,"без жилья","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",46
2607,24,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",44
1821,21,"арендатор","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",29
1510,14,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"женщина",39
7087,58,"домовладелец","ненадежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (одинокий)",27
1496,31,"арендатор","ненадежный","новая машина","все кредиты погашены",2,"женщина",29
1913,4,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",49
2192,18,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",25
3520,33,"без жилья","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (одинокий)",48
4589,23,"без жилья","надежный","новая машина","есть просрочки платежей",3,"мужчина (одинокий)",37
391,24,"арендатор","ненадежный","бытовая техника","есть непогашенные кредиты",1,"женщина",24
1492,16,"домовладелец","надежный","ремонт жилья","есть непогашенные кредиты",1,"мужчина (одинокий)",18
3312,29,"домовладелец","надежный","мебель","есть просрочки платежей",2,"мужчина (разведенный)",40
1900,16,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",30
9297,29,"домовладелец","надежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",64
1287,7,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",24
5561,37,"домовладелец","надежный","мебель","есть просрочки платежей",2,"мужчина (одинокий)",35
5307,40,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",40
2001,8,"без жилья","надежный","мебель","есть просрочки платежей",3,"мужчина (одинокий)",31
934,10,"домовладелец","надежный","бытовая техника","есть просрочки платежей",3,"мужчина (одинокий)",38
2880,17,"без жилья","ненадежный","бытовая техника","все кредиты погашены",1,"мужчина (разведенный)",32
3100,10,"арендатор","надежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",32
1691,10,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",41
2338,14,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"женщина",21
2083,20,"домовладелец","надежный","бизнес","есть просрочки платежей",1,"мужчина (одинокий)",30
1000,14,"домовладелец","ненадежный","новая машина","все кредиты погашены",2,"мужчина (одинокий)",41
1851,16,"домовладелец","надежный","мебель","есть просрочки платежей",2,"женщина",22
1664,13,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",48
12736,50,"домовладелец","ненадежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",19
16598,47,"без жилья","надежный","новая машина","есть просрочки платежей",1,"мужчина (одинокий)",51
10528,25,"без жилья","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (разведенный)",52
2681,12,"арендатор","надежный","бытовая техника","есть непогашенные кредиты",2,"мужчина (одинокий)",32
1861,20,"домовладелец","надежный","бизнес","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",34
1262,15,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"женщина",32
733,28,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",29
2460,12,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",32
1639,8,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",26
6420,22,"домовладелец","надежный","другое","есть просрочки платежей",2,"мужчина (одинокий)",30
7521,51,"домовладелец","надежный","бизнес","есть просрочки платежей",2,"мужчина (одинокий)",33
2185,11,"арендатор","надежный","бизнес","есть непогашенные кредиты",1,"женщина",26
2073,49,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"женщина",19
1085,14,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",44
1040,8,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",24
1256,20,"домовладелец","ненадежный","новая машина","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",21
1833,15,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",34
5607,36,"без жилья","надежный","ремонт жилья","есть просрочки платежей",2,"мужчина (одинокий)",49
4331,21,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"мужчина (разведенный)",51
10018,53,"домовладелец","надежный","подержанная машина","есть просрочки платежей",1,"мужчина (одинокий)",27
1046,17,"домовладелец","надежный","новая машина","есть просрочки платежей",1,"женщина",41
4000,26,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",35
2847,30,"арендатор","ненадежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",37
1789,13,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"мужчина (разведенный)",36
8027,32,"без жилья","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (одинокий)",36
988,9,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (женатый или вдовец)",26
2940,10,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"мужчина (одинокий)",35
3982,33,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",27
3715,43,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",21
2200,24,"арендатор","ненадежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",21
2013,18,"домовладелец","надежный","бизнес","есть просрочки платежей",2,"мужчина (женатый или вдовец)",25
1763,5,"домовладелец","надежный","образование","есть непогашенные кредиты",1,"женщина",47
1389,19,"без жилья","ненадежный","новая машина","все кредиты погашены",2,"мужчина (одинокий)",31
4965,59,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"женщина",24
1354,18,"арендатор","ненадежный","мебель","есть непогашенные кредиты",1,"женщина",20
5822,55,"домовладелец","ненадежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",24
1794,10,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",58
7518,34,"арендатор","ненадежный","бизнес","все кредиты погашены",1,"женщина",41
1781,9,"арендатор","надежный","образование","есть непогашенные кредиты",1,"женщина",25
1602,7,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"женщина",30
6551,53,"домовладелец","надежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",31
1979,12,"домовладелец","надежный","образование","есть просрочки платежей",1,"женщина",58
2836,25,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",2,"мужчина (одинокий)",35
1199,16,"домовладелец","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",34
5088,45,"домовладелец","ненадежный","бизнес","есть непогашенные кредиты",1,"мужчина (разведенный)",35
739,13,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",55
4255,27,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",2,"мужчина (одинокий)",34
2091,9,"домовладелец","надежный","другое","не было кредитов",1,"мужчина (одинокий)",24
9840,45,"без жилья","надежный","подержанная машина","есть просрочки платежей",2,"мужчина (одинокий)",41
4497,34,"домовладелец","надежный","подержанная машина","есть непогашенные кредиты",1,"мужчина (разведенный)",41
1254,11,"домовладелец","надежный","бытовая техника","есть просрочки платежей",3,"женщина",63
2844,24,"домовладелец","надежный","мебель","есть непогашенные кредиты",1,"мужчина (одинокий)",41
756,18,"домовладелец","надежный","бытовая техника","есть просрочки платежей",1,"мужчина (одинокий)",51
5608,28,"домовладелец","ненадежный","бытовая техника","не было кредитов",1,"женщина",40
4016,19,"арендатор","надежный","мебель","есть непогашенные кредиты",1,"женщина",32
8417,63,"без жилья","ненадежный","подержанная машина","есть просрочки платежей",2,"женщина",67
3528,12,"домовладелец","надежный","мебель","есть просрочки платежей",1,"женщина",42
2699,23,"арендатор","ненадежный","мебель","есть непогашенные кредиты",1,"женщина",20
332,4,"домовладелец","надежный","новая машина","есть просрочки платежей",2,"женщина",40
1752,9,"домовладелец","надежный","ремонт жилья","есть непогашенные кредиты",2,"мужчина (одинокий)",41
1551,9,"без жилья","надежный","бытовая техника","есть просрочки платежей",2,"мужчина (одинокий)",28
3486,34,"арендатор","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",52
2701,19,"домовладелец","надежный","мебель","есть просрочки платежей",1,"мужчина (одинокий)",46
1294,9,"домовладелец","надежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",57
4031,15,"домовладелец","надежный","мебель","есть просрочки платежей",2,"женщина",27
5896,14,"домовладелец","ненадежный","бытовая техника","есть непогашенные кредиты",1,"мужчина (одинокий)",56
977,16,"домовладелец","ненадежный","образование","есть непогашенные кредиты",1,"женщина",50
1491,21,"арендатор","ненадежный","новая машина","есть непогашенные кредиты",1,"женщина",21
8509,50,"домовладелец","надежный","бизнес","есть непогашенные кредиты",2,"мужчина (одинокий)",26
2334,16,"домовладелец","надежный","новая машина","есть непогашенные кредиты",1,"мужчина (одинокий)",38
3325,4,"арендатор","ненадежный","мебель","есть просрочки платежей",1,"мужчина (разведенный)",45
