"existing_credits","credit_amount","housing","type","age","personal_status","duration","purpose","credit_history"
1,2967,"домовладелец","надежный",22,"женщина",13,"бытовая техника","есть непогашенные кредиты"
1,2911,"домовладелец","ненадежный",42,"мужчина (одинокий)",24,"бытовая техника","есть непогашенные кредиты"
1,1298,"арендатор","надежный",22,"женщина",15,"бизнес","есть непогашенные кредиты"
2,12701,"арендатор","ненадежный",21,"женщина",67,"подержанная машина","есть просрочки платежей"
1,4267,"домовладелец","ненадежный",36,"мужчина (одинокий)",25,"мебель","есть непогашенные кредиты"
1,1473,"домовладелец","надежный",36,"мужчина (одинокий)",6,"другое","есть непогашенные кредиты"
1,10180,"арендатор","надежный",30,"женщина",23,"подержанная машина","есть просрочки платежей"
1,3151,"арендатор","надежный",27,"женщина",9,"подержанная машина","есть непогашенные кредиты"
1,1829,"арендатор","ненадежный",22,"мужчина (одинокий)",37,"бытовая техника","все кредиты погашены"
1,1917,"домовладелец","ненадежный",27,"женщина",49,"новая машина","есть непогашенные кредиты"
1,661,"домовладелец","надежный",42,"мужчина (одинокий)",19,"мебель","есть непогашенные кредиты"
2,3793,"домовладелец","надежный",48,"мужчина (одинокий)",17,"новая машина","есть просрочки платежей"
1,2303,"домовладелец","ненадежный",53,"мужчина (одинокий)",40,"новая машина","есть непогашенные кредиты"
1,2947,"арендатор","надежный",18,"мужчина (женатый или вдовец)",28,"подержанная машина","есть непогашенные кредиты"
2,5533,"домовладелец","надежный",37,"мужчина (одинокий)",37,"бытовая техника","есть непогашенные кредиты"
1,1652,"арендатор","надежный",33,"мужчина (женатый или вдовец)",11,"бытовая техника","есть непогашенные кредиты"
1,6344,"домовладелец","надежный",31,"мужчина (одинокий)",7,"новая машина","есть непогашенные кредиты"
1,2871,"арендатор","ненадежный",24,"женщина",23,"мебель","есть непогашенные кредиты"
2,1438,"арендатор","надежный",57,"женщина",29,"бытовая техника","есть просрочки платежей"
1,2253,"без жилья","надежный",48,"женщина",19,"новая машина","есть непогашенные кредиты"
1,1345,"домовладелец","ненадежный",34,"мужчина (разведенный)",8,"новая машина","есть непогашенные кредиты"
1,4102,"домовладелец","надежный",28,"женщина",15,"бытовая техника","есть непогашенные кредиты"
1,926,"домовладелец","надежный",58,"мужчина (одинокий)",18,"бытовая техника","есть просрочки платежей"
1,2878,"домовладелец","надежный",22,"мужчина (одинокий)",25,"бизнес","есть просрочки платежей"
1,1488,"домовладелец","ненадежный",30,"мужчина (женатый или вдовец)",22,"бытовая техника","есть непогашенные кредиты"
2,5656,"арендатор","ненадежный",56,"мужчина (одинокий)",12,"новая машина","есть непогашенные кредиты"
4,1376,"домовладелец","надежный",73,"мужчина (одинокий)",10,"бытовая техника","есть просрочки платежей"
2,3583,"домовладелец","ненадежный",31,"мужчина (разведенный)",46,"новая машина","есть просрочки платежей"
1,2361,"домовладелец","ненадежный",23,"мужчина (одинокий)",15,"мебель","есть непогашенные кредиты"
1,20306,"без жилья","надежный",64,"мужчина (одинокий)",88,"новая машина","есть просрочки платежей"
1,2037,"арендатор","надежный",33,"мужчина (одинокий)",38,"бытовая техника","есть непогашенные кредиты"
1,1253,"домовладелец","надежный",39,"женщина",31,"новая машина","есть непогашенные кредиты"
1,3230,"домовладелец","надежный",45,"мужчина (одинокий)",42,"бытовая техника","есть непогашенные кредиты"
1,7767,"без жилья","надежный",43,"мужчина (одинокий)",53,"другое","есть непогашенные кредиты"
1,3124,"домовладелец","надежный",69,"мужчина (одинокий)",27,"подержанная машина","есть непогашенные кредиты"
1,13556,"без жилья","ненадежный",34,"мужчина (одинокий)",33,"новая машина","есть непогашенные кредиты"
2,6770,"домовладелец","надежный",39,"мужчина (одинокий)",40,"бизнес","есть просрочки платежей"
1,995,"домовладелец","надежный",51,"женщина",9,"бытовая техника","есть непогашенные кредиты"
2,3056,"домовладелец","надежный",44,"мужчина (одинокий)",23,"новая машина","есть просрочки платежей"
1,1443,"домовладелец","ненадежный",23,"мужчина (одинокий)",6,"новая машина","есть непогашенные кредиты"
2,4099,"арендатор","ненадежный",28,"женщина",15,"мебель","не было кредитов"
2,1703,"арендатор","ненадежный",54,"мужчина (разведенный)",12,"новая машина","есть непогашенные кредиты"
3,2034,"домовладелец","надежный",41,"мужчина (одинокий)",3,"бытовая техника","есть просрочки платежей"
1,4535,"домовладелец","надежный",32,"мужчина (разведенный)",22,"подержанная машина","есть непогашенные кредиты"
1,2950,"домовладелец","надежный",27,"женщина",21,"бытовая техника","есть непогашенные кредиты"
2,3101,"домовладелец","ненадежный",57,"мужчина (одинокий)",12,"мебель","есть просрочки платежей"
2,2887,"арендатор","надежный",24,"мужчина (женатый или вдовец)",21,"бытовая техника","есть непогашенные кредиты"
1,18054,"без жилья","ненадежный",34,"мужчина (одинокий)",30,"новая машина","есть просрочки платежей"
1,4355,"домовладелец","надежный",31,"мужчина (одинокий)",12,"бытовая техника","есть непогашенные кредиты"
1,4194,"домовладелец","надежный",30,"женщина",31,"бизнес","все кредиты погашены"
3,7518,"без жилья","надежный",43,"мужчина (одинокий)",20,"новая машина","есть просрочки платежей"
1,3256,"домовладелец","надежный",31,"женщина",31,"бизнес","есть непогашенные кредиты"
2,2294,"без жилья","ненадежный",58,"мужчина (одинокий)",24,"бытовая техника","есть непогашенные кредиты"
1,4434,"домовладелец","надежный",25,"женщина",28,"мебель","есть непогашенные кредиты"
2,1028,"домовладелец","ненадежный",40,"мужчина (одинокий)",9,"новая машина","все кредиты погашены"
1,3332,"домовладелец","надежный",33,"мужчина (одинокий)",16,"мебель","есть просрочки платежей"
1,8700,"домовладелец","ненадежный",51,"мужчина (разведенный)",15,"новая машина","есть непогашенные кредиты"
2,1464,"домовладелец","надежный",38,"мужчина (женатый или вдовец)",14,"бытовая техника","есть просрочки платежей"
2,1384,"домовладелец","ненадежный",31,"мужчина (одинокий)",5,"бытовая техника","не было кредитов"
1,1617,"домовладелец","надежный",21,"женщина",40,"бытовая техника","есть непогашенные кредиты"
2,5393,"домовладелец","ненадежный",31,"женщина",29,"новая машина","не было кредитов"
2,2148,"домовладелец","надежный",37,"мужчина (одинокий)",15,"новая машина","есть просрочки платежей"
1,4590,"домовладелец","надежный",28,"мужчина (разведенный)",30,"бытовая техника","есть непогашенные кредиты"
1,2269,"домовладелец","надежный",27,"женщина",18,"новая машина","есть непогашенные кредиты"
1,2170,"без жилья","ненадежный",21,"мужчина (одинокий)",56,"бытовая техника","есть непогашенные кредиты"
2,3169,"домовладелец","надежный",33,"мужчина (одинокий)",10,"новая машина","есть просрочки платежей"
3,5604,"домовладелец","ненадежный",43,"мужчина (одинокий)",40,"бизнес","есть непогашенные кредиты"
1,834,"арендатор","надежный",26,"женщина",19,"мебель","есть непогашенные кредиты"
1,1419,"домовладелец","надежный",43,"женщина",8,"образование","есть просрочки платежей"
1,1630,"арендатор","ненадежный",20,"женщина",16,"новая машина","есть непогашенные кредиты"
1,1939,"домовладелец","надежный",56,"женщина",23,"бытовая техника","есть непогашенные кредиты"
1,7036,"домовладелец","ненадежный",21,"мужчина (одинокий)",37,"подержанная машина","есть непогашенные кредиты"
1,6217,"домовладелец","надежный",33,"женщина",30,"мебель","есть непогашенные кредиты"
2,1404,"домовладелец","надежный",40,"женщина",19,"бытовая техника","есть просрочки платежей"
1,5056,"домовладелец","надежный",30,"мужчина (одинокий)",8,"новая машина","есть непогашенные кредиты"
2,2576,"арендатор","ненадежный",22,"женщина",24,"мебель","есть просрочки платежей"
1,5045,"арендатор","ненадежный",48,"мужчина (разведенный)",9,"мебель","есть просрочки платежей"
