"age","personal_status","housing","credit_history","credit_amount","purpose","type","duration","existing_credits"
40,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3280,"бытовая техника","надежный",29,1
22,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",1384,"бытовая техника","надежный",18,1
48,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2982,"новая машина","надежный",5,3
33,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1748,"другое","надежный",7,1
36,"женщина","домовладелец","есть просрочки платежей",14065,"бытовая техника","надежный",25,2
30,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1975,"бытовая техника","надежный",15,2
41,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",9036,"образование","надежный",45,1
26,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",5791,"мебель","ненадежный",44,1
52,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",1368,"подержанная машина","надежный",20,1
20,"женщина","домовладелец","есть непогашенные кредиты",7033,"новая машина","надежный",45,1
28,"женщина","арендатор","есть непогашенные кредиты",3349,"подержанная машина","надежный",30,1
18,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",4171,"мебель","надежный",36,1
34,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2823,"бизнес","надежный",12,1
19,"женщина","домовладелец","есть непогашенные кредиты",522,"образование","ненадежный",5,1
30,"мужчина (одинокий)","домовладелец","есть просрочки платежей",1028,"бытовая техника","надежный",11,3
22,"мужчина (женатый или вдовец)","домовладелец","есть непогашенные кредиты",1160,"бизнес","надежный",6,1
23,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2006,"новая машина","надежный",12,1
59,"мужчина (одинокий)","домовладелец","есть просрочки платежей",4769,"мебель","надежный",29,1
22,"мужчина (женатый или вдовец)","домовладелец","есть просрочки платежей",3284,"новая машина","надежный",16,2
20,"женщина","арендатор","есть непогашенные кредиты",6277,"подержанная машина","надежный",26,1
30,"мужчина (разведенный)","домовладелец","есть просрочки платежей",2980,"новая машина","надежный",7,1
32,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",1832,"бытовая техника","надежный",14,1
25,"женщина","домовладелец","есть непогашенные кредиты",969,"новая машина","ненадежный",15,1
34,"мужчина (одинокий)","домовладелец","есть просрочки платежей",3428,"бытовая техника","надежный",10,2
34,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1687,"бизнес","надежный",13,2
55,"женщина","арендатор","есть просрочки платежей",2155,"бытовая техника","надежный",11,2
23,"женщина","арендатор","есть непогашенные кредиты",2312,"бытовая техника","ненадежный",22,2
23,"мужчина (одинокий)","домовладелец","все кредиты погашены",3113,"мебель","надежный",25,1
34,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",2154,"бизнес","надежный",28,1
31,"мужчина (одинокий)","домовладелец","есть просрочки платежей",2503,"новая машина","надежный",34,2
63,"мужчина (одинокий)","без жилья","есть просрочки платежей",1902,"подержанная машина","надежный",18,2
36,"женщина","домовладелец","есть непогашенные кредиты",1328,"новая машина","надежный",34,1
59,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",1106,"подержанная машина","надежный",6,1
50,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3012,"другое","ненадежный",48,1
53,"мужчина (одинокий)","домовладелец","все кредиты погашены",658,"новая машина","ненадежный",14,2
26,"женщина","домовладелец","есть непогашенные кредиты",3523,"новая машина","ненадежный",39,1
37,"женщина","домовладелец","есть непогашенные кредиты",1159,"бытовая техника","ненадежный",20,1
29,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",7217,"новая машина","ненадежный",19,1
26,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3249,"мебель","ненадежный",14,1
49,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1613,"бытовая техника","надежный",9,1
39,"мужчина (одинокий)","домовладелец","не было кредитов",1139,"бытовая техника","ненадежный",7,2
36,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",3573,"мебель","ненадежный",46,1
24,"мужчина (одинокий)","без жилья","есть непогашенные кредиты",5800,"новая машина","надежный",20,1
38,"мужчина (одинокий)","арендатор","есть просрочки платежей",3367,"новая машина","надежный",6,3
33,"женщина","домовладелец","не было кредитов",16406,"другое","ненадежный",44,1
27,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",6394,"мебель","надежный",19,1
20,"мужчина (одинокий)","домовладелец","есть непогашенные кредиты",1734,"мебель","надежный",12,1
25,"мужчина (одинокий)","арендатор","есть непогашенные кредиты",5096,"новая машина","надежный",9,1
61,"женщина","домовладелец","есть непогашенные кредиты",1718,"другое","надежный",24,1
37,"мужчина (одинокий)","домовладелец","не было кредитов",11872,"подержанная машина","надежный",77,1
